near,far,pair,near_price,far_price,spread,spread_pct,day_diff,roll_yield,roll_yield_pct,weight,structure
CU2605,CU2606,CU2605-CU2606,102240.0,102300.0,60.0,0.05868544600938967,31,0.006907711285479487,0.6907711285479486,45567.0,contango
CU2606,CU2607,CU2606-CU2607,102300.0,102270.0,-30.0,-0.02932551319648094,30,-0.003568460699171716,-0.3568460699171716,115217.0,backwardation
CU2607,CU2608,CU2607-CU2608,102270.0,102160.0,-110.0,-0.10755842378018969,31,-0.01267095255411967,-1.267095255411967,46877.0,backwardation
CU2608,CU2609,CU2608-CU2609,102160.0,102100.0,-60.0,-0.05873140172278779,31,-0.006917180389919108,-0.6917180389919108,46877.0,backwardation
CU2609,CU2610,CU2609-CU2610,102100.0,101980.0,-120.0,-0.11753183153770813,30,-0.014308116113915878,-1.4308116113915879,15417.0,backwardation
CU2610,CU2611,CU2610-CU2611,101980.0,101890.0,-90.0,-0.08825259854873505,31,-0.010395619641880132,-1.0395619641880132,12472.0,backwardation
CU2611,CU2612,CU2611-CU2612,101890.0,101900.0,10.0,0.009814505839630975,30,0.0011940396169075977,0.11940396169075977,12472.0,contango
CU2612,CU2701,CU2612-CU2701,101900.0,101710.0,-190.0,-0.18645731108930325,31,-0.0219743374444688,-2.19743374444688,9816.0,backwardation
CU2701,CU2702,CU2701-CU2702,101710.0,101640.0,-70.0,-0.06882312456985547,31,-0.008106157668479975,-0.8106157668479975,3319.0,backwardation
CU2702,CU2703,CU2702-CU2703,101640.0,101540.0,-100.0,-0.09838646202282567,28,-0.01283169144431527,-1.283169144431527,3319.0,backwardation
CU2703,CU2704,CU2703-CU2704,101540.0,101590.0,50.0,0.04924167815639156,31,0.0057963834914517755,0.5796383491451775,2945.0,contango
