trade_date,ic
2025-10-17,
2025-10-20,
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-27,
2025-10-28,
2025-10-29,
2025-10-30,
2025-10-31,
2025-11-03,
2025-11-04,
2025-11-05,
2025-11-06,
2025-11-07,
2025-11-10,
2025-11-11,
2025-11-12,
2025-11-13,
2025-11-14,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-05,
2026-01-06,
2026-01-07,
2026-01-08,
2026-01-09,
2026-01-12,-0.07669635086962404
2026-01-13,-0.07918492906599882
2026-01-14,-0.05682983765489528
2026-01-15,-0.022756277436018907
2026-01-16,-0.03383299611102745
2026-01-19,-0.03544356930853113
2026-01-20,-0.0408170582017497
2026-01-21,-0.04605150914894615
2026-01-22,-0.05773819570253601
2026-01-23,-0.030671165392966996
2026-01-26,-0.12906772801326588
2026-01-27,-0.14645950847161474
2026-01-28,-0.1361872808076273
2026-01-29,-0.2279844947905979
2026-01-30,-0.23594897809753235
2026-02-02,-0.2283943598736461
2026-02-03,-0.2420534543419151
2026-02-04,-0.23713782705770114
2026-02-05,-0.23710816337533105
2026-02-06,-0.24681281829003965
2026-02-09,-0.24176002314975942
2026-02-10,-0.2381392109122972
2026-02-11,-0.23971085665843267
2026-02-12,-0.25282957216734653
2026-02-13,-0.24401954853658722
2026-02-24,-0.23082677397441886
2026-02-25,-0.23069869131885776
2026-02-26,-0.2267645713585713
2026-02-27,-0.24664001255884477
2026-03-02,-0.21962401364507275
2026-03-03,-0.21825825319833325
2026-03-04,-0.2211526107675831
2026-03-05,-0.2129156989370995
2026-03-06,-0.21071520964168178
2026-03-09,-0.20355807488508443
2026-03-10,-0.2085372608402729
2026-03-11,-0.18033212333942172
2026-03-12,-0.17004504452313496
2026-03-13,-0.1453676498506941
2026-03-16,-0.10887105693438147
2026-03-17,-0.11671262738129562
2026-03-18,-0.08033495757284781
2026-03-19,-0.08018655768580472
2026-03-20,-0.06134539308450069
2026-03-23,-0.03879196199443466
2026-03-24,-0.08445078651874506
2026-03-25,-0.13033442207950013
2026-03-26,-0.12485401078415552
2026-03-27,-0.086529228432689
2026-03-30,-0.09187532710549035
2026-03-31,-0.09548234476451278
2026-04-01,-0.09687029668660432
2026-04-02,-0.1150608717779069
2026-04-03,-0.12301629961800611
2026-04-07,-0.0955815355878091
2026-04-08,-0.09415780211449647
2026-04-09,-0.08427951929395852
2026-04-10,-0.061017504940217564
2026-04-13,-0.03480199327533369
2026-04-14,
2026-04-15,
2026-04-16,
