trade_date,ic
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-06,-0.0767372638260627
2020-05-07,-0.07456639512391086
2020-05-08,-0.07206437969401955
2020-05-11,-0.06907738851395419
2020-05-12,-0.05573181832990975
2020-05-13,-0.0457644717836367
2020-05-14,-0.034763460611582864
2020-05-15,-0.03303255443402431
2020-05-18,-0.028869704295664263
2020-05-19,-0.027849761880983356
2020-05-20,-0.03023774986207219
2020-05-21,-0.039042429077611684
2020-05-22,-0.036110748880167715
2020-05-25,-0.027530255921968796
2020-05-26,-0.02324730749126538
2020-05-27,-0.015243031347966672
2020-05-28,-0.006797696907403463
2020-05-29,0.0033353437857520196
2020-06-01,0.013473939755449563
2020-06-02,0.022804256829587394
2020-06-03,0.033807089546449974
2020-06-04,0.04267086085252278
2020-06-05,0.04526081895701377
2020-06-08,0.0433747028872894
2020-06-09,0.037455688963282364
2020-06-10,-0.0013582965751714217
2020-06-11,-0.048377746410615347
2020-06-12,-0.15308804931534492
2020-06-15,-0.30351121710104434
2020-06-16,-0.37332070397598116
2020-06-17,-0.3487221235153085
2020-06-18,-0.3714915870492991
2020-06-19,-0.32886707696720596
2020-06-22,-0.3044678790240567
2020-06-23,-0.37156325311697813
2020-06-24,-0.3824675730560109
2020-06-29,-0.3996627402996589
2020-06-30,-0.35262433392675463
2020-07-01,-0.3133990654420851
2020-07-02,-0.23304788129780632
2020-07-03,-0.11378887969062043
2020-07-06,0.04859640214111772
2020-07-07,0.11022430672508218
2020-07-08,0.13756994385223786
2020-07-09,0.1344658306733412
2020-07-10,0.1305820667376768
2020-07-13,0.03550588662199497
2020-07-14,-0.061030245306237754
2020-07-15,-0.18194062797344446
2020-07-16,-0.19428485270826823
2020-07-17,-0.1667110578263905
2020-07-20,-0.16861541197667984
2020-07-21,-0.18470910676843813
2020-07-22,-0.20990314421758305
2020-07-23,-0.2144450743282702
2020-07-24,-0.21388913858025005
2020-07-27,-0.2031769775302663
2020-07-28,-0.2018062141075544
2020-07-29,-0.18369692730585527
2020-07-30,-0.15394679098034103
2020-07-31,-0.141177318003289
2020-08-03,-0.10440646128985304
2020-08-04,-0.07086516745924178
2020-08-05,-0.02174993998360156
2020-08-06,0.030178815479890653
2020-08-07,0.08278766914265077
2020-08-10,0.09747535707116677
2020-08-11,0.0875024917423397
2020-08-12,-9.046914790293718e-05
2020-08-13,-0.02820397237482806
2020-08-14,-0.0695558037763313
2020-08-17,-0.07969457747246791
2020-08-18,-0.06301773789386395
2020-08-19,-0.02848222748345621
2020-08-20,-0.003421049516353616
2020-08-21,0.007656130275443122
2020-08-24,0.01708310457065883
2020-08-25,-0.0034206843127021183
2020-08-26,-0.0011465814246912275
2020-08-27,0.013242222391647159
2020-08-28,0.0317477985349562
2020-08-31,0.047297630577064716
2020-09-01,0.06184058073407063
2020-09-02,0.07057102748980122
2020-09-03,0.07443562450531446
2020-09-04,0.08637861838955573
2020-09-07,0.0982512511317775
2020-09-08,0.09464381376033078
2020-09-09,0.09129052417671207
2020-09-10,0.09356359037850348
2020-09-11,0.08728852249635984
2020-09-14,0.0851975551749712
2020-09-15,0.07580705848086118
2020-09-16,0.06338862350767015
2020-09-17,0.06018120168756042
2020-09-18,0.060035340736759445
2020-09-21,0.06029358920182835
2020-09-22,0.05992942264932173
2020-09-23,0.06204271712784575
2020-09-24,0.020758736870158292
2020-09-25,-0.01669145029614085
2020-09-28,-0.1240033162851857
2020-09-29,-0.23066615648545957
2020-09-30,-0.3237229405125894
2020-10-09,-0.3274853917088225
2020-10-12,-0.35518327809129063
2020-10-13,-0.29920799346398735
2020-10-14,-0.30828802491536694
2020-10-15,-0.35774033939491306
2020-10-16,-0.42528445788969677
2020-10-19,-0.4410129934151785
2020-10-20,-0.483438302967342
2020-10-21,-0.484324153089182
2020-10-22,-0.4864463435105375
2020-10-23,-0.49804896500558865
2020-10-26,-0.541138080784459
2020-10-27,-0.5424099200291279
2020-10-28,-0.5631690027410763
2020-10-29,-0.5620794305686766
2020-10-30,-0.5646783220485754
2020-11-02,-0.5667072419616584
2020-11-03,-0.5555078899655551
2020-11-04,-0.5239823186153805
2020-11-05,-0.493707986408002
2020-11-06,-0.4842360777275884
2020-11-09,-0.44026624306984846
2020-11-10,-0.43352492282838273
2020-11-11,-0.4210536572980086
2020-11-12,-0.3243178212432574
2020-11-13,-0.2962092578779018
2020-11-16,-0.22752021198758848
2020-11-17,-0.1448165516579027
2020-11-18,-0.12270883724352981
2020-11-19,-0.1185724880001764
2020-11-20,-0.049376993626678675
2020-11-23,0.07365536306128405
2020-11-24,0.15426016614336252
2020-11-25,0.2464474549568402
2020-11-26,0.28459448864667636
2020-11-27,0.29975719766181913
2020-11-30,0.18299532213591482
2020-12-01,0.1466888452596415
2020-12-02,0.1256484814176052
2020-12-03,0.12305529208807685
2020-12-04,0.10972614382223542
2020-12-07,0.1143930653023341
2020-12-08,0.12496534608306906
2020-12-09,0.13561901302675974
2020-12-10,0.15789294949540117
2020-12-11,0.1813730461223455
2020-12-14,0.19294663021893232
2020-12-15,0.1806138096075773
2020-12-16,0.16223154614797042
2020-12-17,0.11400704285221047
2020-12-18,0.058160016812884005
2020-12-21,0.020173597429268515
2020-12-22,0.005734268504949842
2020-12-23,-0.006306457052337
2020-12-24,-0.02686031054689501
