trade_date,dominant_code,close,oi,vol,virtual_real_ratio,oi_change,vol_change,oi_change_pct,vol_change_pct,ratio_zscore,signal,signal_text
2020-01-02,CU2003.SHF,49350,111621,36142,0.3237921179706328,,,,,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-03,CU2003.SHF,48900,107465,81773,0.7609268133811008,-4156.0,45631.0,-0.03723313713369347,1.262547728404626,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-06,CU2003.SHF,48760,112759,85974,0.762457985615339,5294.0,4201.0,0.04926255059786899,0.051373925378792595,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-07,CU2003.SHF,49010,119226,57599,0.4831077114052304,6467.0,-28375.0,0.05735240645979478,-0.33004164049596385,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-08,CU2003.SHF,48860,122405,82785,0.6763204117478862,3179.0,25186.0,0.026663647191048856,0.43726453584263614,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-09,CU2003.SHF,48960,128312,78060,0.6083608703784525,5907.0,-4725.0,0.04825783260487726,-0.05707555716615331,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-10,CU2003.SHF,49010,134555,48262,0.35867860726097134,6243.0,-29798.0,0.048654841324272,-0.3817320010248527,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-13,CU2003.SHF,48940,135429,84452,0.6235887439174771,874.0,36190.0,0.00649548511761,0.7498653184700179,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-14,CU2003.SHF,49310,142706,99744,0.6989474864406542,7277.0,15292.0,0.0537329523218808,0.18107327239141768,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-15,CU2003.SHF,49260,141576,78508,0.554529016217438,-1130.0,-21236.0,-0.007918377643546859,-0.21290503689444984,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-16,CU2003.SHF,49200,141900,52450,0.36962649753347426,324.0,-26058.0,0.002288523478555682,-0.3319152188312019,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-17,CU2003.SHF,49250,140603,77143,0.5486582789840899,-1297.0,24693.0,-0.009140239605355926,0.470791229742612,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-20,CU2003.SHF,49100,138502,65995,0.476491314204849,-2101.0,-11148.0,-0.01494278215969791,-0.144510843498438,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-21,CU2003.SHF,48420,127620,97077,0.7606723084156088,-10882.0,31082.0,-0.07856926253772512,0.47097507386923243,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-22,CU2003.SHF,48540,121551,56978,0.46875796990563634,-6069.0,-40099.0,-0.047555242125058794,-0.41306385652626265,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-01-23,CU2003.SHF,48020,114727,58176,0.5070820295135409,-6824.0,1198.0,-0.05614104367713968,0.021025659026290944,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-02-03,CU2003.SHF,45040,107064,89818,0.8389187775536128,-7663.0,31642.0,-0.06679334419970884,0.5439012651265127,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-02-04,CU2003.SHF,45260,107815,53234,0.49375318833186477,751.0,-36584.0,0.007014496002391013,-0.40731256541005145,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-02-05,CU2003.SHF,45550,108033,45362,0.4198902187294623,218.0,-7872.0,0.0020219820989657578,-0.1478754179659616,,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-02-06,CU2003.SHF,46040,107093,35004,0.3268560970371546,-940.0,-10358.0,-0.008701045051049183,-0.22834090207662805,-1.4340370579510713,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-02-07,CU2003.SHF,45690,104940,27048,0.2577472841623785,-2153.0,-7956.0,-0.02010402173811543,-0.2272883099074392,-1.6871012940733117,neutral,虚实盘比平稳，短线与持仓结构均衡
2020-02-10,CU2003.SHF,45410,108030,34784,0.3219846338979913,3090.0,7736.0,0.029445397369925574,0.28601005619639164,-1.2247315752120358,neutral,虚实盘比平稳，短线与持仓结构均衡
