ts_code,trade_date,open,high,low,close,vol,oi,delist_date
CU2001.SHF,20200102,49150.0,49210.0,49050.0,49110,12194,33020,20200115
CU2002.SHF,20200102,49120.0,49340.0,49120.0,49230,42747,110353,20200217
CU2003.SHF,20200102,49290.0,49490.0,49290.0,49350,36142,111621,20200316
CU2004.SHF,20200102,49320.0,49550.0,49320.0,49430,10558,27049,20200415
CU2005.SHF,20200102,49460.0,49550.0,49410.0,49430,3837,22494,20200515
CU2006.SHF,20200102,49450.0,49550.0,49440.0,49450,718,4155,20200615
CU2007.SHF,20200102,49530.0,49570.0,49460.0,49460,48,943,20200715
CU2008.SHF,20200102,49560.0,49630.0,49520.0,49570,130,770,20200817
CU2009.SHF,20200102,49680.0,49710.0,49600.0,49600,35,520,20200915
CU2010.SHF,20200102,49680.0,49680.0,49590.0,49630,8,193,20201015
CU2011.SHF,20200102,49750.0,49750.0,49750.0,49750,1,111,20201116
CU2001.SHF,20200103,49010.0,49020.0,48660.0,48700,22980,28635,20200115
CU2002.SHF,20200103,49130.0,49130.0,48750.0,48780,80835,98739,20200217
CU2003.SHF,20200103,49220.0,49250.0,48870.0,48900,81773,107465,20200316
CU2004.SHF,20200103,49310.0,49330.0,48960.0,48980,15803,28439,20200415
CU2005.SHF,20200103,49410.0,49410.0,49010.0,49040,6451,22908,20200515
CU2006.SHF,20200103,49330.0,49330.0,49060.0,49090,1521,4515,20200615
CU2007.SHF,20200103,49310.0,49360.0,49130.0,49200,243,1132,20200715
CU2008.SHF,20200103,49420.0,49420.0,49180.0,49200,74,813,20200817
CU2009.SHF,20200103,49500.0,49500.0,49220.0,49250,189,515,20200915
CU2010.SHF,20200103,49560.0,49560.0,49280.0,49300,43,199,20201015
CU2011.SHF,20200103,49560.0,49560.0,49320.0,49370,17,109,20201116
CU2012.SHF,20200103,49500.0,49590.0,49330.0,49380,70,112,20201215
CU2001.SHF,20200106,48510.0,48760.0,48370.0,48540,18355,25860,20200115
CU2002.SHF,20200106,48580.0,48870.0,48420.0,48650,57267,90764,20200217
CU2003.SHF,20200106,48580.0,49010.0,48560.0,48760,85974,112759,20200316
CU2004.SHF,20200106,48830.0,49100.0,48660.0,48850,18866,32380,20200415
CU2005.SHF,20200106,48740.0,49130.0,48620.0,48910,7936,23785,20200515
CU2006.SHF,20200106,48890.0,49180.0,48760.0,48990,1543,4877,20200615
CU2007.SHF,20200106,48850.0,49270.0,48850.0,49050,148,1143,20200715
CU2008.SHF,20200106,48880.0,49280.0,48880.0,49110,159,894,20200817
CU2009.SHF,20200106,49000.0,49380.0,48990.0,49160,246,503,20200915
CU2010.SHF,20200106,49060.0,49410.0,49060.0,49280,62,216,20201015
CU2011.SHF,20200106,49090.0,49380.0,49070.0,49280,43,116,20201116
CU2012.SHF,20200106,49090.0,49490.0,49080.0,49320,124,197,20201215
CU2001.SHF,20200107,48510.0,48780.0,48500.0,48780,12945,23935,20200115
CU2002.SHF,20200107,48520.0,48880.0,48520.0,48870,29081,86017,20200217
CU2003.SHF,20200107,48710.0,49020.0,48710.0,49010,57599,119226,20200316
CU2004.SHF,20200107,48830.0,49110.0,48810.0,49060,12227,34634,20200415
CU2005.SHF,20200107,48910.0,49150.0,48850.0,49120,4729,24576,20200515
CU2006.SHF,20200107,48970.0,49180.0,48930.0,49160,657,4945,20200615
CU2007.SHF,20200107,49070.0,49260.0,48980.0,49170,148,1177,20200715
CU2008.SHF,20200107,49110.0,49340.0,49110.0,49300,50,881,20200817
CU2009.SHF,20200107,49250.0,49380.0,49140.0,49360,36,497,20200915
CU2010.SHF,20200107,49280.0,49460.0,49220.0,49460,47,220,20201015
CU2011.SHF,20200107,49330.0,49500.0,49330.0,49450,56,114,20201116
CU2012.SHF,20200107,49410.0,49520.0,49310.0,49480,76,264,20201215
CU2001.SHF,20200108,48680.0,48730.0,48480.0,48630,16040,21170,20200115
CU2002.SHF,20200108,48780.0,48840.0,48520.0,48730,33984,82820,20200217
CU2003.SHF,20200108,48860.0,48980.0,48640.0,48860,82785,122405,20200316
CU2004.SHF,20200108,48940.0,49040.0,48730.0,48930,13663,36978,20200415
CU2005.SHF,20200108,49000.0,49590.0,48800.0,48950,8273,24483,20200515
CU2006.SHF,20200108,49070.0,49100.0,48840.0,49030,1376,5480,20200615
CU2007.SHF,20200108,49160.0,49160.0,48950.0,49080,230,1301,20200715
