trade_date,ic
2025-10-17,
2025-10-20,
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-27,
2025-10-28,
2025-10-29,
2025-10-30,
2025-10-31,
2025-11-03,
2025-11-04,
2025-11-05,
2025-11-06,
2025-11-07,
2025-11-10,
2025-11-11,
2025-11-12,
2025-11-13,
2025-11-14,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-05,
2026-01-06,
2026-01-07,
2026-01-08,
2026-01-09,
2026-01-12,0.07391350332285004
2026-01-13,0.07076707292108535
2026-01-14,0.06201981274652469
2026-01-15,0.06976880476000569
2026-01-16,0.06074397809437761
2026-01-19,0.06717851896667075
2026-01-20,0.06839241523852581
2026-01-21,0.06554656975379058
2026-01-22,0.05144012980042386
2026-01-23,0.11026695992947469
2026-01-26,0.10087148449084093
2026-01-27,0.09957720491705926
2026-01-28,0.10597590700861795
2026-01-29,0.008264604540353585
2026-01-30,0.0990900914173689
2026-02-02,0.09191826374412489
2026-02-03,0.0949020708422623
2026-02-04,0.10165555514482713
2026-02-05,0.09978069466890918
2026-02-06,0.10541410945826317
2026-02-09,0.10562178452865079
2026-02-10,0.08839548490928581
2026-02-11,0.08245798358947605
2026-02-12,0.08101592876094856
2026-02-13,0.08392785541024086
2026-02-24,0.050906330037404086
2026-02-25,0.047896845291534505
2026-02-26,0.05272702778767168
2026-02-27,0.045697192754444185
2026-03-02,0.04266099767231332
2026-03-03,0.04368596919585041
2026-03-04,0.0406701362709392
2026-03-05,0.04096762432787558
2026-03-06,0.035324236602723325
2026-03-09,0.03889801730718204
2026-03-10,0.049061489130736234
2026-03-11,0.058237765666642606
2026-03-12,0.06421334646437903
2026-03-13,0.04567432629760367
2026-03-16,0.04345725765760678
2026-03-17,0.05084356336457893
2026-03-18,0.050191990664981014
2026-03-19,0.036969851992873955
2026-03-20,0.04261372907502722
2026-03-23,0.015842716449997823
2026-03-24,-0.013916984528916671
2026-03-25,-0.04335783363394855
2026-03-26,-0.04766710226086262
2026-03-27,-0.05474615441760998
2026-03-30,-0.06286141154080381
2026-03-31,-0.044172833975235415
2026-04-01,-0.06276240742142579
2026-04-02,-0.06638811433928582
2026-04-03,-0.06782031091633059
2026-04-07,-0.022915864757466996
2026-04-08,-0.00602421912593419
2026-04-09,-0.007896799364911198
2026-04-10,0.014345822012291072
2026-04-13,
2026-04-14,
2026-04-15,
2026-04-16,
2026-05-06,
