trade_date,dominant_code,close,oi,vol,price_change,oi_change,oi_change_pct,vol_change,vol_oi_ratio,price_move_threshold,oi_move_threshold,signal,signal_text,regime,position_flow_score,position_flow_factor
2015-04-01,NI1507.SHF,92500,70960,158952,,,,,2.240022547914318,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.0
2015-04-02,NI1507.SHF,96160,80724,202848,0.03956756756756752,9764.0,0.13759864712514092,43896.0,2.512858629403895,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,1.7716621469270843
2015-04-03,NI1507.SHF,97300,80998,150282,0.011855241264559169,274.0,0.003394281750161099,-52566.0,1.8553791451640782,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.15249523014720268
2015-04-07,NI1507.SHF,96420,83542,75688,-0.009044193216855123,2544.0,0.03140818291809677,-74594.0,0.9059874075315411,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.2236398970124165
2015-04-08,NI1507.SHF,93950,95102,183088,-0.025617091889649446,11560.0,0.13837351272413878,107400.0,1.9251750751824357,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,1.1275642083448933
2015-04-09,NI1507.SHF,94300,99084,160974,0.0037253858435337683,3982.0,0.04187083342095854,-22114.0,1.6246215332445197,0.011855241264559169,0.04187083342095854,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.4559621926449231
2015-04-10,NI1507.SHF,94540,105628,137722,0.0025450689289501227,6544.0,0.06604497194299785,-23252.0,1.303839890938009,0.010449717240707146,0.0539579026819782,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.6859004087194798
2015-04-13,NI1507.SHF,95230,112858,180214,0.007298497990268604,7230.0,0.06844776006361952,42492.0,1.596820783639618,0.009044193216855123,0.06604497194299785,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.7574625805388813
2015-04-14,NI1507.SHF,93100,127690,199150,-0.022366901186600896,14832.0,0.13142178666997473,18936.0,1.5596366199389144,0.010449717240707146,0.06724636600330869,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-0.9094511451662615
2015-04-15,NI1507.SHF,94730,132258,220106,0.017508055853920457,4568.0,0.03577414049651506,20956.0,1.6642169093741022,0.011855241264559169,0.06604497194299785,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.5328219635043552
2015-04-16,NI1507.SHF,95400,131624,195920,0.007072733030718981,-634.0,-0.0047936608749564735,-24186.0,1.4884823436455357,0.010449717240707146,0.0539579026819782,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.02279072155762507
2015-04-17,NI1507.SHF,95850,127284,168702,0.004716981132075526,-4340.0,-0.03297271014404668,-27218.0,1.3253983218629206,0.009044193216855123,0.04187083342095854,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.28255729011971153
2015-04-20,NI1507.SHF,95410,116410,148104,-0.004590505998956718,-10874.0,-0.08543100468244236,-20598.0,1.272261833175844,0.008171345603561864,0.0539579026819782,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.9002151068139908
2015-04-21,NI1507.SHF,95880,110552,140930,0.0049261083743843415,-5858.0,-0.050322137273430156,-7174.0,1.2747847166944062,0.007298497990268604,0.050322137273430156,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.45396028899045815
2015-04-22,NI1507.SHF,96330,110516,123902,0.0046933667083854935,-36.0,-0.00032563861350309864,-17028.0,1.1211227333598754,0.0071856155104937924,0.04609648534719435,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.04367728094882395
2015-04-23,NI1507.SHF,95860,110646,101066,-0.004879061559223463,130.0,0.0011763002642151132,-22836.0,0.9134175659309871,0.007072733030718981,0.04187083342095854,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.0370276129500835
2015-04-24,NI1507.SHF,97830,113816,118180,0.020550803254746564,3170.0,0.028649928601124364,17114.0,1.0383425880368313,0.0071856155104937924,0.0388224869587368,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.4920073185587093
2015-04-27,NI1507.SHF,101490,116290,241904,0.03741183685985905,2474.0,0.021736838405848058,123724.0,2.0801788631868603,0.007298497990268604,0.03577414049651506,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.5914867526570711
2015-04-28,NI1507.SHF,102650,111958,285722,0.01142969750714351,-4332.0,-0.03725169834035602,43818.0,2.55204630307794,0.008171345603561864,0.03651291941843554,short_covering,价格上涨但减仓，更像空头回补推动的反弹,空头回补,1,0.7417799916678749
2015-04-29,NI1507.SHF,101020,111334,317634,-0.015879201169020973,-624.0,-0.005573518640918929,31912.0,2.8529829162699625,0.009044193216855123,0.03577414049651506,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.21452719809939902
2015-04-30,NI1507.SHF,106010,125970,552750,0.04939615917640072,14636.0,0.1314602906569422,235116.0,4.387949511788521,0.010236945361999317,0.03651291941843554,long_buildup,价格上涨且增仓，偏向多头增仓、资金流入,多头增仓,2,3.8085644983334292
2015-05-04,NI1507.SHF,107580,128702,278844,0.014809923592113972,2732.0,0.021687703421449545,-273906.0,2.1665863778340664,0.010236945361999317,0.03437342532028087,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.36497627013563516
2015-05-05,NI1507.SHF,107960,133626,518266,0.003532255065997303,4924.0,0.03825892371524908,239422.0,3.8784817325969496,0.008171345603561864,0.03651291941843554,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.41791178781246385
2015-05-06,NI1507.SHF,113380,134182,609024,0.05020377917747321,556.0,0.004160866897160664,90758.0,4.538790597844718,0.009364097748706057,0.03651291941843554,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.5436464607463387
2015-05-07,NI1507.SHF,112500,123678,969052,-0.007761509966484392,-10504.0,-0.07828173674561412,360028.0,7.835281941816653,0.007530003978376498,0.03651291941843554,long_unwinding,价格下跌且减仓，偏向多头离场、趋势衰减,多头离场,-1,-1.860432467120985
2015-05-08,NI1507.SHF,112300,118556,878416,-0.001777777777777767,-5122.0,-0.041413994404825405,-90636.0,7.409291811464624,0.007530003978376498,0.03651291941843554,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.4319177218260317
2015-05-11,NI1507.SHF,113880,128054,728054,0.01406945681211047,9498.0,0.08011403893518665,-150362.0,5.685523294859981,0.009595603736813951,0.03651291941843554,long_buildup,价格上涨且增仓，偏向多头增仓、资金流入,多头增仓,2,2.941834957472971
2015-05-12,NI1507.SHF,111600,126536,871696,-0.02002107481559534,-1518.0,-0.011854373935995755,143642.0,6.888916988050831,0.01274957715962699,0.03437342532028087,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.31875448751591096
2015-05-13,NI1507.SHF,111750,123868,752614,0.0013440860215054862,-2668.0,-0.02108490864259971,-119082.0,6.075935673458844,0.009595603736813951,0.03081131937258552,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.19740822621094223
2015-05-14,NI1507.SHF,109400,121384,760542,-0.021029082774049246,-2484.0,-0.020053605450963907,7928.0,6.26558689777895,0.009595603736813951,0.02519338350348621,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.41082688225013153
