trade_date,roll_yield,dominant_code,close,virtual_real_ratio,oi_change,vol_change,signal,signal_text,roll_component,ratio_component,agreement_boost,combo_score_raw,combo_score
2015-04-01,0.0049042763457775,NI1507.SHF,92500,2.240022547914318,,,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-02,-0.0157677105254078,NI1507.SHF,96160,2.512858629403895,9764.0,43896.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-03,-0.0300387814245428,NI1507.SHF,97300,1.8553791451640782,274.0,-52566.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-07,-0.0214385554623142,NI1507.SHF,96420,0.9059874075315411,2544.0,-74594.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-08,-0.0232307218356953,NI1507.SHF,93950,1.9251750751824357,11560.0,107400.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-09,-0.0375773410352849,NI1507.SHF,94300,1.6246215332445197,3982.0,-22114.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-10,-0.02496122787282,NI1507.SHF,94540,1.303839890938009,6544.0,-23252.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-13,-0.0415656380658172,NI1507.SHF,95230,1.596820783639618,7230.0,42492.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-14,-0.0266184181028886,NI1507.SHF,93100,1.5596366199389144,14832.0,18936.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-15,-0.0587090688517315,NI1507.SHF,94730,1.6642169093741022,4568.0,20956.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-16,-0.0601941651649868,NI1507.SHF,95400,1.4884823436455357,-634.0,-24186.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-17,-0.0919770424256384,NI1507.SHF,95850,1.3253983218629206,-4340.0,-27218.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-20,-0.09599775511038,NI1507.SHF,95410,1.272261833175844,-10874.0,-20598.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-21,-0.0960254667788206,NI1507.SHF,95880,1.2747847166944062,-5858.0,-7174.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-22,-0.0820981947451645,NI1507.SHF,96330,1.1211227333598754,-36.0,-17028.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-23,-0.0654851625904828,NI1507.SHF,95860,0.9134175659309871,130.0,-22836.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-24,-0.0905207008197504,NI1507.SHF,97830,1.0383425880368313,3170.0,17114.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-27,-0.0610461834198604,NI1507.SHF,101490,2.0801788631868603,2474.0,123724.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-28,-0.0802349611211339,NI1507.SHF,102650,2.55204630307794,-4332.0,43818.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-29,-0.0613210104117681,NI1507.SHF,101020,2.8529829162699625,-624.0,31912.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-04-30,-0.071889144269468,NI1507.SHF,106010,4.387949511788521,14636.0,235116.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-05-04,-0.0641896576048147,NI1507.SHF,107580,2.1665863778340664,2732.0,-273906.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2015-05-05,-0.0900981675723794,NI1507.SHF,107960,3.8784817325969496,4924.0,239422.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
