trade_date,ic
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,-0.11987709948096924
2015-08-07,-0.09535434155319451
2015-08-10,-0.030093639624872583
2015-08-11,0.021334900506698933
2015-08-12,0.05488985014446053
2015-08-13,0.08225481261449201
2015-08-14,0.07023090206355068
2015-08-17,0.02601247625105197
2015-08-18,0.001504266810106519
2015-08-19,-0.029336332369642924
2015-08-20,-0.08685261278024026
2015-08-21,-0.09837745171423734
2015-08-24,-0.11296205190439088
2015-08-25,-0.15769608526484966
2015-08-26,-0.1511976825769184
2015-08-27,-0.14675506617710138
2015-08-28,-0.15035466177546275
2015-08-31,-0.18032707047661964
2015-09-01,-0.17159802288312503
2015-09-02,-0.16291819937952173
2015-09-07,-0.13567279051041026
2015-09-08,-0.12411326981876428
2015-09-09,-0.15045675262939498
2015-09-10,-0.15414098533973644
2015-09-11,-0.15277377155977886
2015-09-14,-0.16288597318908363
2015-09-15,-0.16951704774924048
2015-09-16,-0.13921824705029034
2015-09-17,-0.09210019189597515
2015-09-18,-0.07144543269860419
2015-09-21,-0.05725469765396302
2015-09-22,-0.04557455872566571
2015-09-23,-0.042321182738860055
2015-09-24,-0.022481230869830282
2015-09-25,-0.044379536234843045
2015-09-28,-0.022896748858837034
2015-09-29,-0.0019458136860704038
2015-09-30,0.01963900663855105
2015-10-08,0.05118245629318324
2015-10-09,0.01217771233755721
2015-10-12,0.04074799279842134
2015-10-13,0.035565311123064276
2015-10-14,0.05561466202113489
2015-10-15,0.06511000813415962
2015-10-16,0.05777785157532244
2015-10-19,0.053726262010873306
2015-10-20,0.05748089651574143
2015-10-21,0.06530273568071698
2015-10-22,0.06880079970812987
2015-10-23,0.053350196009305254
2015-10-26,0.039246390510197356
2015-10-27,0.016499567440990483
2015-10-28,-0.0025589575560042567
2015-10-29,-0.027548114884584834
2015-10-30,-0.040016350688800585
2015-11-02,-0.0685416889026658
2015-11-03,-0.08498293153158243
2015-11-04,-0.10303622871740056
2015-11-05,-0.11265825393369527
2015-11-06,-0.1255815932062101
2015-11-09,-0.13339623401390152
2015-11-10,-0.14283128719131333
2015-11-11,-0.1509954342273844
2015-11-12,-0.1692184405982863
2015-11-13,-0.18172857081026947
2015-11-16,-0.2132899412097989
2015-11-17,-0.20905935602876194
2015-11-18,-0.20675151918821755
2015-11-19,-0.19511531105285207
2015-11-20,-0.181586637252518
2015-11-23,-0.08501439633368472
2015-11-24,-0.07601841442121036
2015-11-25,-0.09782092961185782
2015-11-26,-0.05816694820179206
2015-11-27,-0.05781225867251853
2015-11-30,-0.1020491241612741
2015-12-01,-0.11346793903045974
2015-12-02,-0.11049131547797103
2015-12-03,-0.10632188307746607
2015-12-04,-0.11133299617352256
2015-12-07,-0.11438245655579253
2015-12-08,-0.11042008304928573
2015-12-09,-0.11112245735293104
2015-12-10,-0.08992709417254965
2015-12-11,-0.10772984269525471
2015-12-14,-0.1083485750784253
2015-12-15,-0.09569418445527958
2015-12-16,-0.11663938236440434
2015-12-17,-0.14009420469149753
2015-12-18,-0.14821400303681584
2015-12-21,-0.15005628132667928
2015-12-22,-0.15865082181187323
2015-12-23,-0.15366332528030516
2015-12-24,-0.1515535437531119
2015-12-25,-0.13742604717791757
2015-12-28,-0.1451917573171011
2015-12-29,-0.14797874821750936
2015-12-30,-0.15012081277783879
2015-12-31,-0.16544755378600817
2016-01-04,-0.17137465792404946
2016-01-05,-0.17940870063138295
2016-01-06,-0.18345580565871022
2016-01-07,-0.17767653938925887
2016-01-08,-0.17901645772863375
2016-01-11,-0.1835554628162792
2016-01-12,-0.18395597617892345
2016-01-13,-0.16524183033415582
2016-01-14,-0.17320577227864076
2016-01-15,-0.18033354537286925
2016-01-18,-0.1813885985187795
2016-01-19,-0.18166541795576
2016-01-20,-0.17272775735037693
2016-01-21,-0.16847970688813385
2016-01-22,-0.16760919053292003
2016-01-25,-0.16739465703583084
2016-01-26,-0.1564258417362418
2016-01-27,-0.15345858425136935
2016-01-28,-0.1452829914333605
2016-01-29,-0.13824484270270543
2016-02-01,-0.14240614614321465
2016-02-02,-0.1584223991580585
2016-02-03,-0.1661378827212372
2016-02-04,-0.17157186239971575
2016-02-05,-0.17117613452832117
2016-02-15,-0.11709606239464473
2016-02-16,-0.07247987091493106
2016-02-17,-0.05424825795755811
2016-02-18,-0.023765916843380072
2016-02-19,-0.025703804274418908
2016-02-22,-0.04231086358402593
2016-02-23,-0.11402907519658059
2016-02-24,-0.10235995702628771
2016-02-25,-0.06686189904441475
2016-02-26,-0.07376327241844714
2016-02-29,-0.0008102370998158719
2016-03-01,0.09358474112272003
2016-03-02,0.09132412746193402
2016-03-03,0.0890781397716675
2016-03-04,0.08938203217244221
2016-03-07,0.07845542776962847
2016-03-08,0.07334614073867331
2016-03-09,0.08472759077216477
2016-03-10,0.14409009522545305
2016-03-11,0.14857566791341248
2016-03-14,0.17923312138542932
2016-03-15,0.20442742144386522
2016-03-16,0.20786566627897857
2016-03-17,0.20506982171356383
2016-03-18,0.21232202118200202
2016-03-21,0.20719449826787886
2016-03-22,0.18412838668551818
2016-03-23,0.1759489281789941
2016-03-24,0.16359870604541227
2016-03-25,0.14849228640878942
2016-03-28,0.1074798089570504
2016-03-29,0.10021784004150872
2016-03-30,0.11119339012194068
