trade_date,ic
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,-0.22311721606517998
2015-06-29,-0.22034232957986832
2015-06-30,-0.2254965212479042
2015-07-01,-0.23631599553270108
2015-07-02,-0.24715954715474073
2015-07-03,-0.23318816984668378
2015-07-06,-0.23476928871344083
2015-07-07,-0.2330607543949657
2015-07-08,-0.2360603195928933
2015-07-09,-0.20764757544255644
2015-07-10,-0.20197725681131778
2015-07-13,-0.18470928204600726
2015-07-14,-0.17444164651363162
2015-07-15,-0.1757641557291087
2015-07-16,-0.1465406508334512
2015-07-17,-0.12123728974062127
2015-07-20,-0.08116904453174824
2015-07-21,-0.05713140058787503
2015-07-22,-0.04531881571110789
2015-07-23,-0.035782281721258476
2015-07-24,-0.024037482098600516
2015-07-27,-0.05273223473127044
2015-07-28,-0.033062523085235884
2015-07-29,-0.04267882459363977
2015-07-30,-0.051300814802137905
2015-07-31,-0.06882541322536054
2015-08-03,-0.09153822453235129
2015-08-04,-0.07221669494145508
2015-08-05,-0.08964933484907488
2015-08-06,-0.08504394398267576
2015-08-07,-0.07624874918735569
2015-08-10,-0.03769222254438576
2015-08-11,0.011291226966801732
2015-08-12,0.04794198362445151
2015-08-13,0.060363267721127406
2015-08-14,0.05797454262732013
2015-08-17,0.09664612259290481
2015-08-18,0.08642800960692433
2015-08-19,0.12093389661896238
2015-08-20,0.1292015732559916
2015-08-21,0.16288518063610233
2015-08-24,0.17918596190511404
2015-08-25,0.20262506556794754
2015-08-26,0.19415342122641902
2015-08-27,0.1992095930865536
2015-08-28,0.20997209342509815
2015-08-31,0.2366379506370204
2015-09-01,0.23608259370302176
2015-09-02,0.23085087407104443
2015-09-07,0.20003723160393239
2015-09-08,0.17227914131620586
2015-09-09,0.18150885132799427
2015-09-10,0.17016242780452062
2015-09-11,0.16608174210609333
2015-09-14,0.17627353760549538
2015-09-15,0.19395857626195068
2015-09-16,0.19224543680796116
2015-09-17,0.16815044014409103
2015-09-18,0.1328257319640237
2015-09-21,0.08447314148488061
2015-09-22,0.07015401562471406
2015-09-23,0.0728156416221559
2015-09-24,0.09058104428862487
2015-09-25,0.09234722899364024
2015-09-28,0.08680349869558802
2015-09-29,0.051598347102835826
2015-09-30,0.0206845095516911
2015-10-08,-0.006960172430770383
2015-10-09,0.005410375194087255
2015-10-12,-0.01169219359174517
2015-10-13,-0.013435367220069902
2015-10-14,-0.03202099972562439
2015-10-15,-0.04211767686819776
2015-10-16,-0.029107821443527852
2015-10-19,-0.06435860602355896
2015-10-20,-0.06823879975832818
2015-10-21,-0.07164562954779995
2015-10-22,-0.07365573797856122
2015-10-23,-0.05893683727605652
2015-10-26,-0.05284196331900002
2015-10-27,-0.0497717480285009
2015-10-28,-0.04174038518982195
2015-10-29,-0.033665434980002
2015-10-30,-0.026434327420734018
2015-11-02,-0.011737089667230452
2015-11-03,-0.002710091353609211
2015-11-04,0.009430910329432636
2015-11-05,0.01337853229040784
2015-11-06,0.03056668054461302
2015-11-09,0.0399047834165583
2015-11-10,0.04899128821165628
2015-11-11,0.04789312862404837
2015-11-12,0.05751592164534261
2015-11-13,0.05956810346298822
2015-11-16,0.07367513807540858
2015-11-17,0.08574767694887153
2015-11-18,0.10909922941643618
2015-11-19,0.13466480841486678
2015-11-20,0.1173195412612715
2015-11-23,0.058764355573954714
2015-11-24,0.02819835588676522
2015-11-25,0.028865058545522675
2015-11-26,0.004961400775049287
2015-11-27,0.02680994423016811
2015-11-30,0.022187089575288713
2015-12-01,0.02568824951299182
2015-12-02,0.023889285524268472
2015-12-03,0.029114138715137256
2015-12-04,0.03306281621484132
2015-12-07,0.053044533505006757
2015-12-08,0.06407035261230389
2015-12-09,0.05043503991451761
2015-12-10,0.0604375654507976
2015-12-11,0.0633659018711708
2015-12-14,0.05499726073503763
2015-12-15,0.030720799213805224
2015-12-16,0.030051335508936194
2015-12-17,0.0583201122346349
2015-12-18,0.08088197513072418
2015-12-21,0.10780613986568488
2015-12-22,0.10764565910156276
2015-12-23,0.10420692952869073
2015-12-24,0.10404255651248748
2015-12-25,0.0896983198550377
2015-12-28,0.06101084719303935
2015-12-29,0.064687873306276
2015-12-30,0.08069038969180019
2015-12-31,0.12383934882397764
2016-01-04,0.13176120049950585
2016-01-05,0.13339082261294227
2016-01-06,0.13646274861955782
2016-01-07,0.13829883629864448
2016-01-08,0.14383869795034013
2016-01-11,0.1512932637634026
2016-01-12,0.1425624595064133
2016-01-13,0.10679231300726769
2016-01-14,0.09522674694785735
2016-01-15,0.0967283820996577
2016-01-18,0.098739662642825
2016-01-19,0.09462557973869824
2016-01-20,0.09426322620231581
2016-01-21,0.09804225134859583
2016-01-22,0.10736738130083587
2016-01-25,0.1045519067358568
2016-01-26,0.09532996492552787
2016-01-27,0.09412103119032457
2016-01-28,0.0922530760088123
2016-01-29,0.09245278298527598
2016-02-01,0.08226873533269215
2016-02-02,0.08007737778694866
2016-02-03,0.0929662864209042
2016-02-04,0.11315765258155623
2016-02-05,0.12067976687577692
2016-02-15,0.10596738104798778
2016-02-16,0.07505210147189165
2016-02-17,0.04592974345345443
2016-02-18,-0.015236740577974993
2016-02-19,-0.057297948160056955
2016-02-22,-0.05296382525989552
2016-02-23,-0.02524634125384475
2016-02-24,-0.047392459845321006
2016-02-25,-0.061547052704721654
2016-02-26,-0.008226745255651377
2016-02-29,-0.053129990761988384
2016-03-01,-0.04496504211617775
2016-03-02,-0.04753407480748483
2016-03-03,-0.06078476255651412
2016-03-04,-0.0891746043128052
2016-03-07,-0.15458189643253087
2016-03-08,-0.16974814238422578
2016-03-09,-0.17799654098614237
2016-03-10,-0.2194019105589601
2016-03-11,-0.2690221238850918
2016-03-14,-0.29632789253021463
2016-03-15,-0.2971592784406073
