ts_code,trade_date,open,high,low,close,vol,oi,delist_date
NI1507.SHF,20150401,93940.0,94130.0,91270.0,92500,158952,70960,20150715
NI1508.SHF,20150401,93840.0,94090.0,91600.0,92700,1256,2406,20150817
NI1509.SHF,20150401,93840.0,94000.0,91530.0,92460,1116,1394,20150915
NI1601.SHF,20150401,95000.0,95000.0,93160.0,93760,192,198,20160115
NI1507.SHF,20150402,92870.0,96600.0,92550.0,96160,202848,80724,20150715
NI1508.SHF,20150402,93090.0,96150.0,92500.0,96000,1456,2008,20150817
NI1509.SHF,20150402,93160.0,96150.0,92390.0,95910,1772,1632,20150915
NI1512.SHF,20150402,93870.0,96280.0,93740.0,96040,120,108,20151215
NI1601.SHF,20150402,94490.0,96590.0,94280.0,95740,246,256,20160115
NI1603.SHF,20150402,97160.0,97450.0,96850.0,97300,50,102,20160315
NI1507.SHF,20150403,96000.0,97800.0,95660.0,97300,150282,80998,20150715
NI1508.SHF,20150403,95550.0,97800.0,95500.0,96900,318,2072,20150817
NI1509.SHF,20150403,95720.0,97210.0,95450.0,96840,492,1682,20150915
NI1512.SHF,20150403,96180.0,96520.0,96180.0,96520,14,108,20151215
NI1601.SHF,20150403,95570.0,97440.0,95570.0,97380,42,252,20160115
NI1603.SHF,20150403,97040.0,97890.0,96670.0,97890,28,102,20160315
NI1507.SHF,20150407,97500.0,97980.0,95950.0,96420,75688,83542,20150715
NI1508.SHF,20150407,97220.0,97580.0,95500.0,96070,1222,2716,20150817
NI1509.SHF,20150407,96990.0,97600.0,95300.0,96100,1258,2312,20150915
NI1512.SHF,20150407,97930.0,97930.0,96380.0,96380,20,118,20151215
NI1601.SHF,20150407,98340.0,98340.0,96300.0,96460,52,278,20160115
NI1603.SHF,20150407,97970.0,98310.0,96660.0,96660,42,124,20160315
NI1507.SHF,20150408,94500.0,95630.0,93300.0,93950,183088,95102,20150715
NI1508.SHF,20150408,94410.0,95150.0,93100.0,93550,1618,3076,20150817
NI1509.SHF,20150408,94800.0,95230.0,93050.0,93580,3328,3436,20150915
NI1512.SHF,20150408,95110.0,95910.0,94720.0,94720,8,120,20151215
NI1601.SHF,20150408,95240.0,95950.0,93330.0,94190,316,422,20160115
NI1603.SHF,20150408,95600.0,95600.0,93980.0,94610,58,154,20160315
NI1507.SHF,20150409,94450.0,95260.0,93880.0,94300,160974,99084,20150715
NI1508.SHF,20150409,94100.0,94810.0,93560.0,93840,710,3136,20150817
NI1509.SHF,20150409,94060.0,94760.0,93400.0,93700,1838,3808,20150915
NI1512.SHF,20150409,95000.0,95000.0,94990.0,94990,4,116,20151215
NI1601.SHF,20150409,94670.0,95230.0,93190.0,94170,148,422,20160115
NI1603.SHF,20150409,95070.0,95600.0,94330.0,94670,20,164,20160315
NI1507.SHF,20150410,94500.0,94970.0,93180.0,94540,137722,105628,20150715
NI1508.SHF,20150410,94150.0,94490.0,92950.0,94240,512,3194,20150817
NI1509.SHF,20150410,93960.0,94480.0,92900.0,94140,1078,4020,20150915
NI1512.SHF,20150410,94400.0,94400.0,94000.0,94000,10,110,20151215
NI1601.SHF,20150410,94400.0,94570.0,93080.0,94340,108,442,20160115
NI1602.SHF,20150410,94130.0,94130.0,93790.0,93790,8,102,20160215
NI1603.SHF,20150410,95000.0,95000.0,93840.0,94550,18,174,20160315
NI1507.SHF,20150413,94280.0,95670.0,93700.0,95230,180214,112858,20150715
NI1508.SHF,20150413,94240.0,95180.0,93290.0,94830,1188,3648,20150817
NI1509.SHF,20150413,94500.0,94900.0,93300.0,94560,3312,4370,20150915
NI1512.SHF,20150413,94000.0,94000.0,94000.0,94000,2,110,20151215
NI1601.SHF,20150413,94240.0,95350.0,93720.0,95350,310,556,20160115
NI1602.SHF,20150413,,,,94800,0,102,20160215
NI1603.SHF,20150413,94920.0,95670.0,93990.0,95670,16,178,20160315
NI1507.SHF,20150414,94780.0,95070.0,92810.0,93100,199150,127690,20150715
NI1508.SHF,20150414,94170.0,94420.0,92400.0,92730,1904,4202,20150817
NI1509.SHF,20150414,94020.0,94390.0,92320.0,92680,7562,7394,20150915
NI1512.SHF,20150414,94720.0,94720.0,91750.0,91750,16,120,20151215
NI1601.SHF,20150414,95150.0,95190.0,93110.0,93400,400,744,20160115
NI1602.SHF,20150414,94220.0,94220.0,93850.0,93850,8,100,20160215
NI1603.SHF,20150414,95220.0,95220.0,93420.0,93420,96,212,20160315
NI1507.SHF,20150415,92700.0,95000.0,92640.0,94730,220106,132258,20150715
NI1508.SHF,20150415,92200.0,94100.0,92200.0,93800,1610,5288,20150817
