trade_date,ic
2025-10-17,
2025-10-20,
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-27,
2025-10-28,
2025-10-29,
2025-10-30,
2025-10-31,
2025-11-03,
2025-11-04,
2025-11-05,
2025-11-06,
2025-11-07,
2025-11-10,
2025-11-11,
2025-11-12,
2025-11-13,
2025-11-14,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-05,
2026-01-06,
2026-01-07,
2026-01-08,
2026-01-09,
2026-01-12,-0.060813040835570126
2026-01-13,-0.07803050987894172
2026-01-14,-0.1940369549404533
2026-01-15,-0.19224557707476547
2026-01-16,-0.19381028428953895
2026-01-19,-0.1715297302332107
2026-01-20,-0.15584428795920374
2026-01-21,-0.218270512117931
2026-01-22,-0.18973743745847982
2026-01-23,-0.13962395976667336
2026-01-26,-0.2186226925095458
2026-01-27,-0.1111830418803707
2026-01-28,-0.1365794474742965
2026-01-29,-0.25283978972842164
2026-01-30,-0.1818609167239072
2026-02-02,-0.1892526864404588
2026-02-03,-0.1894372784943534
2026-02-04,-0.18113892330172846
2026-02-05,-0.2008496337297032
2026-02-06,-0.2037585957145829
2026-02-09,-0.2009422489326859
2026-02-10,-0.21120289486694935
2026-02-11,-0.21840597218673247
2026-02-12,-0.2186705275457226
2026-02-13,-0.2138123732934637
2026-02-24,-0.21770654715550888
2026-02-25,-0.21944717841167685
2026-02-26,-0.21003829839237534
2026-02-27,-0.21349226956960482
2026-03-02,-0.21427326983500566
2026-03-03,-0.21359735940799526
2026-03-04,-0.2123151572319029
2026-03-05,-0.21226144761787125
2026-03-06,-0.21546033959503705
2026-03-09,-0.2150800910054338
2026-03-10,-0.2229492799133374
2026-03-11,-0.21556675804905906
2026-03-12,-0.20447659260311724
2026-03-13,-0.20472992423432543
2026-03-16,-0.20075278834141175
2026-03-17,-0.19718552691221142
2026-03-18,-0.20225572613228004
2026-03-19,-0.22324124022324823
2026-03-20,-0.24379872792249355
2026-03-23,-0.24463282003145673
2026-03-24,-0.23183241226640988
2026-03-25,-0.24211943482040718
2026-03-26,-0.2055846229299401
2026-03-27,-0.20446994905765484
2026-03-30,-0.21301469338179618
2026-03-31,-0.2119863853350751
2026-04-01,-0.21751407358427405
2026-04-02,-0.2115429880202412
2026-04-03,-0.21650338819770581
2026-04-07,-0.14720831681962576
2026-04-08,-0.1272839679120062
2026-04-09,-0.12485054360352485
2026-04-10,
2026-04-13,
2026-04-14,
2026-04-15,
2026-04-16,
