trade_date,ic
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,-0.005396641249372231
2020-01-23,0.0022114477797202004
2020-02-03,-0.04453625167521123
2020-02-04,-0.05349469809895704
2020-02-05,-0.06310591236899324
2020-02-06,-0.087183953747391
2020-02-07,-0.11861296855461934
2020-02-10,-0.1470888970775531
2020-02-11,-0.17765480377899737
2020-02-12,-0.14992671328650212
2020-02-13,-0.14467969752521082
2020-02-14,-0.1444592893823457
2020-02-17,-0.1375078218588039
2020-02-18,-0.13344423248565848
2020-02-19,-0.1285920486463921
2020-02-20,-0.11779097527530427
2020-02-21,-0.07875929279359606
2020-02-24,-0.05267570937894193
2020-02-25,-0.010994413875349746
2020-02-26,-0.021698320915499735
2020-02-27,-0.037143255880196374
2020-02-28,-0.07496589051627489
2020-03-02,-0.07607124554987775
