trade_date,ic
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,-0.025784895394157317
2019-12-25,-0.029283131592482227
2019-12-26,-0.022331882011954737
2019-12-27,0.0006464898827485471
2019-12-30,0.0034095224749023634
2019-12-31,-0.10857201282731287
2020-01-02,-0.149824456742106
2020-01-03,-0.11017279696882591
2020-01-06,-0.08131395886445013
2020-01-07,-0.07817029895126744
2020-01-08,-0.08185780293914793
2020-01-09,-0.06785186255749188
2020-01-10,-0.09002344607846816
2020-01-13,-0.0905508246780331
2020-01-14,-0.07777110909516623
2020-01-15,-0.08012677649897179
2020-01-16,-0.08705599070690796
2020-01-17,-0.03397799886210177
2020-01-20,-0.03824952620934145
2020-01-21,-0.0317633571466785
2020-01-22,0.01321941557847301
2020-01-23,0.039319793909144224
2020-02-03,0.03511914370202625
2020-02-04,0.040454031547134464
2020-02-05,0.06019145590025262
2020-02-06,0.06635479381920527
2020-02-07,0.07305050229717393
2020-02-10,0.07009943724308595
2020-02-11,0.059240812359723345
2020-02-12,0.03196175507201257
2020-02-13,0.030307994587762236
2020-02-14,0.029130020985999868
2020-02-17,0.027940705646603513
