trade_date,ic
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,0.13547597315982787
2019-12-25,0.07844179285829915
2019-12-26,0.08001781760762713
2019-12-27,0.10476560831225325
2019-12-30,0.08980371369691473
2019-12-31,0.08877391334571555
2020-01-02,0.09866253193588032
2020-01-03,0.10462120376451076
2020-01-06,0.09867552457682806
2020-01-07,0.07587725063026395
2020-01-08,0.1348459287195126
2020-01-09,0.14225782610435142
2020-01-10,0.20381938635719551
2020-01-13,0.2210041750504904
2020-01-14,0.18788485695503085
2020-01-15,0.17847876567496496
2020-01-16,0.17231641406915696
2020-01-17,0.16524624266580484
2020-01-20,0.167250302162625
2020-01-21,0.20757967813446807
2020-01-22,0.18241159933718412
2020-01-23,0.18746263565242524
2020-02-03,0.1671985971937392
2020-02-04,0.15769803102802524
2020-02-05,0.14638784027766732
2020-02-06,0.11888852555620463
2020-02-07,0.09266669237680654
2020-02-10,0.05970043639344091
2020-02-11,0.060399008290347236
2020-02-12,0.004151693805785218
2020-02-13,0.0172022676034861
2020-02-14,0.022796512774298734
2020-02-17,0.028162073135343503
2020-02-18,0.022146009012451506
