ts_code,trade_date,open,high,low,close,vol,oi,delist_date
SS2002.SHF,20190925,15575.0,15760.0,15280.0,15575,186460,21358,20200217
SS2005.SHF,20190925,15090.0,15435.0,14980.0,15200,7784,1710,20200515
SS2009.SHF,20190925,15585.0,15585.0,15000.0,15045,220,116,20200915
SS2002.SHF,20190926,15565.0,15935.0,15550.0,15705,106728,19368,20200217
SS2005.SHF,20190926,15180.0,15500.0,15175.0,15380,2836,1830,20200515
SS2002.SHF,20190927,15715.0,15800.0,15580.0,15725,28334,15904,20200217
SS2005.SHF,20190927,15400.0,15440.0,15260.0,15425,1526,1722,20200515
SS2002.SHF,20190930,15735.0,15790.0,15635.0,15700,15514,14590,20200217
SS2005.SHF,20190930,15430.0,15470.0,15335.0,15395,434,1686,20200515
SS2002.SHF,20191008,15630.0,15800.0,15545.0,15675,7400,14614,20200217
SS2005.SHF,20191008,15495.0,15505.0,15235.0,15390,748,1540,20200515
SS2002.SHF,20191009,15630.0,15695.0,15630.0,15675,4898,14500,20200217
SS2005.SHF,20191009,15365.0,15465.0,15365.0,15395,190,1504,20200515
SS2002.SHF,20191010,15685.0,15895.0,15600.0,15765,11566,15286,20200217
SS2005.SHF,20191010,15435.0,15495.0,15345.0,15485,492,1536,20200515
SS2002.SHF,20191011,15800.0,15800.0,15705.0,15745,7914,14654,20200217
SS2005.SHF,20191011,15485.0,15525.0,15445.0,15450,304,1542,20200515
SS2002.SHF,20191014,15775.0,15830.0,15735.0,15765,9842,14774,20200217
SS2005.SHF,20191014,15400.0,15565.0,15400.0,15515,252,1554,20200515
SS2002.SHF,20191015,15735.0,15820.0,15165.0,15440,23070,14770,20200217
SS2005.SHF,20191015,15470.0,15530.0,14960.0,15225,782,1656,20200515
SS2002.SHF,20191016,15405.0,15585.0,15405.0,15490,9800,14062,20200217
SS2005.SHF,20191016,15250.0,15340.0,15220.0,15275,228,1678,20200515
SS2002.SHF,20191017,15465.0,15510.0,15115.0,15180,21976,14866,20200217
SS2005.SHF,20191017,15270.0,15285.0,14975.0,15035,634,1692,20200515
SS2002.SHF,20191018,15175.0,15245.0,14790.0,15020,26950,16168,20200217
SS2005.SHF,20191018,15035.0,15085.0,14665.0,14900,412,1728,20200515
SS2002.SHF,20191021,15180.0,15200.0,14680.0,14850,24926,17612,20200217
SS2005.SHF,20191021,15050.0,15050.0,14600.0,14720,328,1754,20200515
SS2002.SHF,20191022,14850.0,14980.0,14770.0,14895,10304,18188,20200217
SS2005.SHF,20191022,14750.0,14820.0,14650.0,14745,170,1754,20200515
SS2002.SHF,20191023,14940.0,15150.0,14840.0,14975,17532,17306,20200217
SS2005.SHF,20191023,14740.0,15000.0,14730.0,14840,308,1720,20200515
SS2002.SHF,20191024,14975.0,15130.0,14940.0,15005,11796,17000,20200217
SS2005.SHF,20191024,14865.0,14995.0,14845.0,14930,88,1698,20200515
SS2002.SHF,20191025,15060.0,15080.0,14815.0,14960,13594,17124,20200217
SS2005.SHF,20191025,14850.0,14885.0,14700.0,14810,140,1718,20200515
SS2002.SHF,20191028,14960.0,15065.0,14855.0,15005,9592,16402,20200217
SS2005.SHF,20191028,14735.0,14900.0,14730.0,14860,72,1700,20200515
SS2002.SHF,20191029,15065.0,15225.0,14965.0,15025,13946,15906,20200217
SS2005.SHF,20191029,14900.0,15040.0,14810.0,14810,252,1684,20200515
SS2002.SHF,20191030,15020.0,15065.0,14965.0,15065,5464,15738,20200217
SS2005.SHF,20191030,14860.0,14920.0,14810.0,14875,80,1642,20200515
SS2002.SHF,20191031,15115.0,15115.0,14925.0,14985,6612,15984,20200217
SS2005.SHF,20191031,14805.0,14805.0,14805.0,14805,2,1642,20200515
SS2002.SHF,20191101,14990.0,15000.0,14850.0,15000,8370,16230,20200217
SS2005.SHF,20191101,14825.0,14830.0,14715.0,14805,40,1642,20200515
SS2002.SHF,20191104,14955.0,15005.0,14950.0,14975,4632,16166,20200217
SS2005.SHF,20191104,14790.0,14835.0,14785.0,14815,16,1638,20200515
SS2002.SHF,20191105,14960.0,15000.0,14875.0,14910,8172,16304,20200217
SS2005.SHF,20191105,14775.0,14805.0,14735.0,14750,152,1630,20200515
SS2002.SHF,20191106,14910.0,14975.0,14865.0,14930,8148,15964,20200217
SS2005.SHF,20191106,14790.0,14795.0,14740.0,14785,266,1648,20200515
SS2002.SHF,20191107,14955.0,14965.0,14850.0,14920,8134,15358,20200217
SS2005.SHF,20191107,14750.0,14820.0,14705.0,14795,138,1712,20200515
SS2002.SHF,20191108,14940.0,14940.0,14775.0,14780,7920,15044,20200217
SS2005.SHF,20191108,14730.0,14750.0,14670.0,14700,114,1706,20200515
SS2002.SHF,20191111,14765.0,14780.0,14200.0,14210,39166,19348,20200217
SS2005.SHF,20191111,14630.0,14660.0,14055.0,14120,1018,1906,20200515
SS2002.SHF,20191112,14205.0,14425.0,14170.0,14385,21560,19704,20200217
SS2005.SHF,20191112,14055.0,14220.0,14055.0,14130,1188,1692,20200515
SS2002.SHF,20191113,14345.0,14480.0,14250.0,14360,11526,20382,20200217
SS2005.SHF,20191113,14220.0,14300.0,14090.0,14090,470,1522,20200515
SS2002.SHF,20191114,14350.0,14430.0,14270.0,14370,9242,19736,20200217
SS2005.SHF,20191114,14150.0,14245.0,14125.0,14180,150,1472,20200515
SS2002.SHF,20191115,14365.0,14440.0,14200.0,14375,14680,19548,20200217
SS2005.SHF,20191115,14285.0,14285.0,14060.0,14195,386,1376,20200515
SS2002.SHF,20191118,14375.0,14405.0,14115.0,14300,17972,20158,20200217
SS2005.SHF,20191118,14175.0,14200.0,14005.0,14145,334,1368,20200515
SS2002.SHF,20191119,14205.0,14505.0,14205.0,14380,17204,18920,20200217
SS2005.SHF,20191119,14200.0,14310.0,14200.0,14280,378,1338,20200515
SS2002.SHF,20191120,14380.0,14485.0,14335.0,14415,11248,17890,20200217
SS2005.SHF,20191120,14275.0,14360.0,14275.0,14280,206,1258,20200515
SS2002.SHF,20191121,14400.0,14405.0,14260.0,14375,12054,16804,20200217
SS2005.SHF,20191121,14230.0,14280.0,14185.0,14270,400,1430,20200515
SS2002.SHF,20191122,14420.0,14580.0,14315.0,14530,17356,16786,20200217
SS2005.SHF,20191122,14305.0,14425.0,14200.0,14395,1026,1508,20200515
SS2002.SHF,20191125,14540.0,14595.0,14455.0,14525,8070,16862,20200217
SS2005.SHF,20191125,14390.0,14440.0,14325.0,14365,408,1320,20200515
SS2002.SHF,20191126,14555.0,14565.0,14355.0,14370,9872,15376,20200217
SS2005.SHF,20191126,14340.0,14390.0,14235.0,14260,376,1532,20200515
SS2002.SHF,20191127,14360.0,14380.0,14185.0,14220,14148,15830,20200217
SS2005.SHF,20191127,14200.0,14215.0,14090.0,14135,362,1770,20200515
SS2002.SHF,20191128,14220.0,14260.0,14095.0,14110,10662,17162,20200217
SS2005.SHF,20191128,14155.0,14155.0,14000.0,14020,576,2086,20200515
SS2002.SHF,20191129,14080.0,14135.0,14000.0,14005,10418,18358,20200217
SS2005.SHF,20191129,13990.0,14015.0,13925.0,13930,394,2338,20200515
SS2009.SHF,20191129,13910.0,14040.0,13870.0,13885,34,112,20200915
SS2002.SHF,20191202,13975.0,14075.0,13905.0,13930,10508,18906,20200217
SS2005.SHF,20191202,13900.0,13980.0,13825.0,13850,1306,2768,20200515
SS2009.SHF,20191202,13990.0,13990.0,13815.0,13820,24,124,20200915
SS2002.SHF,20191203,13930.0,14075.0,13925.0,14020,6460,18118,20200217
SS2005.SHF,20191203,13880.0,13980.0,13880.0,13940,234,2792,20200515
SS2009.SHF,20191203,13885.0,13885.0,13870.0,13870,4,120,20200915
SS2002.SHF,20191204,14015.0,14095.0,13835.0,13850,14030,20060,20200217
SS2005.SHF,20191204,13965.0,13970.0,13775.0,13780,656,2918,20200515
