trade_date,roll_yield,pairs_count,structure
2019-09-25,-0.09884052710854815,1,backwardation
2019-09-26,-0.08480640725872776,1,backwardation
2019-09-27,-0.07811905522438482,1,backwardation
2019-09-30,-0.07956160896551484,1,backwardation
2019-10-08,-0.07441595126546059,1,backwardation
2019-10-09,-0.07309857085577448,1,backwardation
2019-10-10,-0.07267750048586831,1,backwardation
2019-10-11,-0.0767061743485608,1,backwardation
2019-10-14,-0.06482803566986955,1,backwardation
2019-10-15,-0.05686996461382283,1,backwardation
2019-10-16,-0.056685105782863135,1,backwardation
2019-10-17,-0.03892504185946777,1,backwardation
2019-10-18,-0.03253136872633444,1,backwardation
2019-10-21,-0.03565949401124868,1,backwardation
2019-10-22,-0.04104848358635592,1,backwardation
2019-10-23,-0.03672673095257068,1,backwardation
2019-10-24,-0.020321850883885852,1,backwardation
2019-10-25,-0.040869229525756445,1,backwardation
2019-10-28,-0.03938122727769282,1,backwardation
2019-10-29,-0.05845212257412275,1,backwardation
2019-10-30,-0.05147400799953841,1,backwardation
2019-10-31,-0.04901033126112184,1,backwardation
2019-11-01,-0.053067915947322755,1,backwardation
2019-11-04,-0.04356462762482652,1,backwardation
2019-11-05,-0.043755575407203554,1,backwardation
2019-11-06,-0.039580025111450944,1,backwardation
2019-11-07,-0.0341206417450719,1,backwardation
2019-11-08,-0.022011210371205788,1,backwardation
2019-11-11,-0.025767824066985214,1,backwardation
2019-11-12,-0.07253685680091701,1,backwardation
2019-11-13,-0.076979464044041,1,backwardation
2019-11-14,-0.05398017033597233,1,backwardation
2019-11-15,-0.051103231298281905,1,backwardation
2019-11-18,-0.044198792966677836,1,backwardation
2019-11-19,-0.02830127015815482,1,backwardation
2019-11-20,-0.038160239725650906,1,backwardation
2019-11-21,-0.02973190717838471,1,backwardation
2019-11-22,-0.0378568003787656,1,backwardation
2019-11-25,-0.04492180846615628,1,backwardation
2019-11-26,-0.031164045147177872,1,backwardation
2019-11-27,-0.024314812542022408,1,backwardation
2019-11-28,-0.025951030603023777,1,backwardation
2019-11-29,-0.021776795954787827,1,backwardation
2019-12-02,-0.023358195920042645,1,backwardation
2019-12-03,-0.0232078204448231,1,backwardation
2019-12-04,-0.020549366360663908,1,backwardation
2019-12-05,-0.01610220888494703,1,backwardation
2019-12-06,-0.011645537235429949,1,backwardation
2019-12-09,0.0,1,backwardation
2019-12-10,-0.005804016096953567,1,backwardation
2019-12-11,-0.0014282639892488902,1,backwardation
2019-12-12,0.00142425130719332,1,contango
2019-12-13,-0.014230034092589704,1,backwardation
2019-12-16,-0.005694006629351478,1,backwardation
2019-12-17,-0.018476367062102997,1,backwardation
2019-12-18,-0.01705809267955427,1,backwardation
2019-12-19,-0.026853402015237907,1,backwardation
2019-12-20,-0.019845470491067847,1,backwardation
2019-12-23,-0.029597582857914202,1,backwardation
2019-12-24,-0.04130364449273305,1,backwardation
2019-12-25,-0.03575720179563795,1,backwardation
2019-12-26,-0.03746731095776304,2,backwardation
2019-12-27,-0.019964374798887418,2,backwardation
2019-12-30,-0.04399655114353189,2,backwardation
2019-12-31,-0.0278500309571293,2,backwardation
2020-01-02,-0.11041167619037202,2,backwardation
2020-01-03,-0.07881782981444814,2,backwardation
2020-01-06,-0.060006724604350005,2,backwardation
2020-01-07,-0.057764652308149735,2,backwardation
2020-01-08,-0.06303295563295583,2,backwardation
2020-01-09,-0.03730785192217131,2,backwardation
2020-01-10,-0.042592009042393894,1,backwardation
2020-01-13,,0,unknown
2020-01-14,,0,unknown
2020-01-15,,0,unknown
2020-01-16,,0,unknown
2020-01-17,,0,unknown
2020-01-20,,0,unknown
2020-01-21,,0,unknown
2020-01-22,,0,unknown
2020-01-23,,0,unknown
2020-02-03,,0,unknown
2020-02-04,,0,unknown
2020-02-05,,0,unknown
2020-02-06,,0,unknown
2020-02-07,,0,unknown
2020-02-10,,0,unknown
2020-02-11,,0,unknown
2020-02-12,,0,unknown
2020-02-13,,0,unknown
2020-02-14,,0,unknown
2020-02-17,,0,unknown
2020-02-18,,0,unknown
2020-02-19,,0,unknown
2020-02-20,,0,unknown
2020-02-21,,0,unknown
2020-02-24,,0,unknown
2020-02-25,,0,unknown
2020-02-26,0.019205476232096785,1,contango
2020-02-27,-0.023992645650678195,1,backwardation
2020-02-28,0.024367455905482355,1,contango
2020-03-02,-0.019251058868744824,1,backwardation
2020-03-03,-0.014406948594812027,1,backwardation
2020-03-04,0.0,1,backwardation
2020-03-05,0.004809909794487588,1,contango
2020-03-06,-0.014498512142737084,1,backwardation
2020-03-09,0.014949827807657634,1,contango
2020-03-10,-0.014673368612725389,1,backwardation
2020-03-11,0.0,1,backwardation
2020-03-12,0.0,1,backwardation
2020-03-13,0.019961721732431197,1,contango
2020-03-16,0.004979196577242402,1,contango
2020-03-17,-0.00997676699337191,1,backwardation
2020-03-18,0.035302270017983396,1,contango
2020-03-19,0.015577323534973186,2,contango
2020-03-20,-0.015236904517007467,1,backwardation
2020-03-23,0.01030636797475637,1,contango
2020-03-24,0.01030636797475637,1,contango
2020-03-25,-0.020328604005273476,1,backwardation
2020-03-26,-0.023876990956066955,2,backwardation
2020-03-27,0.005039000555225511,1,contango
2020-03-30,0.005119573678175134,1,contango
2020-03-31,0.0,1,backwardation
2020-04-01,0.01521784647009472,1,contango
2020-04-02,0.005087462615073572,1,contango
2020-04-03,0.010206935721665348,1,contango
2020-04-07,-0.020210414392590675,1,backwardation
2020-04-08,-0.03494019495341702,1,backwardation
2020-04-09,-0.014852494214789699,1,backwardation
2020-04-10,-0.019552702748448485,1,backwardation
2020-04-13,-0.01354723040430209,2,contango
2020-04-14,-0.004113530043843492,2,contango
2020-04-15,-0.04622503257846304,2,backwardation
2020-04-16,-0.033916454673805024,2,contango
2020-04-17,-0.05796173561734346,2,backwardation
2020-04-20,-0.11122007415007001,2,backwardation
2020-04-21,-0.08112015117008244,2,backwardation
2020-04-22,-0.14271758043367888,2,backwardation
2020-04-23,-0.10355554777231868,2,backwardation
2020-04-24,-0.08415855156999322,2,backwardation
2020-04-27,-0.08800180008785875,2,backwardation
2020-04-28,-0.03296133171499744,2,backwardation
2020-04-29,-0.05506549814347834,2,backwardation
2020-04-30,-0.11957029585843708,2,backwardation
2020-05-06,-0.02418265101386697,2,backwardation
2020-05-07,-0.04376796591049891,2,backwardation
2020-05-08,-0.0400668852812909,2,backwardation
2020-05-11,-0.04806895888026146,2,backwardation
2020-05-12,-0.0792491342889879,2,backwardation
2020-05-13,-0.06729296126322232,2,backwardation
2020-05-14,-0.06477749308956349,2,backwardation
2020-05-15,-0.06569691055349751,2,backwardation
2020-05-18,-0.06985957763686361,2,backwardation
2020-05-19,-0.08557773071703058,2,backwardation
2020-05-20,-0.057270292825964186,2,backwardation
2020-05-21,-0.125204333155252,2,backwardation
2020-05-22,-0.044956883746177394,1,backwardation
2020-05-25,-0.07574720176826273,1,backwardation
2020-05-26,-0.053438186503159,1,backwardation
2020-05-27,-0.11990376108719064,2,backwardation
2020-05-28,-0.0670512932918135,2,backwardation
2020-05-29,-0.08325270217703645,2,backwardation
2020-06-01,-0.08110479758346703,2,backwardation
2020-06-02,-0.0943286454669152,2,backwardation
2020-06-03,-0.10619367320267269,2,backwardation
2020-06-04,-0.1108615835598973,2,backwardation
2020-06-05,-0.11092179508377749,2,backwardation
2020-06-08,-0.09075696882414613,2,backwardation
2020-06-09,-0.0814470124942999,2,backwardation
2020-06-10,-0.09412191435405508,2,backwardation
2020-06-11,-0.08890541632523316,2,backwardation
2020-06-12,-0.064948132576955,3,backwardation
2020-06-15,-0.0793021937816281,3,backwardation
2020-06-16,-0.10081518354864456,3,backwardation
2020-06-17,-0.08982541799021118,2,backwardation
2020-06-18,-0.07866847110940389,2,backwardation
2020-06-19,-0.16193249561579082,2,backwardation
2020-06-22,-0.15769739994954096,2,backwardation
2020-06-23,-0.16255216672713763,2,backwardation
2020-06-24,-0.12544641885577473,2,backwardation
2020-06-29,-0.15685528647866534,2,backwardation
2020-06-30,-0.14958851693930603,2,backwardation
2020-07-01,-0.14750364474512967,2,backwardation
2020-07-02,-0.12324683887876708,2,backwardation
2020-07-03,-0.08159971607224654,2,backwardation
2020-07-06,-0.059656619746589104,2,backwardation
2020-07-07,-0.05887707727501002,2,backwardation
2020-07-08,-0.025772077651574823,2,backwardation
2020-07-09,-0.050275392570951156,2,backwardation
2020-07-10,-0.1198092651206894,2,backwardation
2020-07-13,-0.0638728897943222,2,backwardation
2020-07-14,-0.059782407327283106,2,backwardation
2020-07-15,-0.10132496676846538,2,backwardation
2020-07-16,-0.11433055106379303,2,backwardation
2020-07-17,-0.10713807337404065,2,backwardation
2020-07-20,-0.09579798358004155,3,backwardation
2020-07-21,-0.08876711781635548,3,backwardation
2020-07-22,-0.0729411793851873,3,backwardation
2020-07-23,-0.07766218098835417,3,backwardation
2020-07-24,-0.10884703087664435,3,backwardation
2020-07-27,-0.10218478213366,3,backwardation
2020-07-28,-0.0832295159207923,3,backwardation
2020-07-29,-0.0770176286279565,3,backwardation
2020-07-30,-0.07508333140483284,3,backwardation
2020-07-31,-0.07255852836981659,3,backwardation
2020-08-03,-0.07899452477590964,3,backwardation
2020-08-04,-0.054293141844940114,4,backwardation
2020-08-05,-0.07239495142520395,4,backwardation
2020-08-06,-0.07301368904504695,4,backwardation
2020-08-07,-0.07823690415554119,4,backwardation
2020-08-10,-0.05823741518158021,4,backwardation
2020-08-11,-0.06388900892786553,4,backwardation
2020-08-12,-0.05118723030922266,4,backwardation
2020-08-13,-0.02440145874017434,4,backwardation
2020-08-14,-0.007755371033565954,4,contango
2020-08-17,-0.05191710133096204,3,backwardation
2020-08-18,-0.07927533110811624,3,backwardation
2020-08-19,-0.04903801473958437,3,backwardation
2020-08-20,-0.038998630870580885,3,backwardation
2020-08-21,-0.01749851555448325,3,backwardation
2020-08-24,0.0008638791116892064,3,backwardation
2020-08-25,-0.0036064992308657558,3,backwardation
2020-08-26,0.004574991452307028,3,contango
2020-08-27,-0.0013243570200033837,3,contango
2020-08-28,-0.007567883060724003,3,contango
2020-08-31,0.006229250222730414,3,contango
2020-09-01,0.008049408933508067,3,contango
2020-09-02,0.012269597586561388,3,contango
2020-09-03,-0.0048347304005068245,3,backwardation
2020-09-04,0.0031327598956649755,3,contango
2020-09-07,0.005599317640617506,3,contango
2020-09-08,0.025491209564494237,3,contango
2020-09-09,0.010426567972057358,3,backwardation
2020-09-10,0.006247639518917011,4,contango
