factor,product,product_name,ic_3d,ic_5d,abs_ic_5d,pvalue_5d,strategy_total_return,benchmark_total_return,excess_return,metric_label,signal_long_short_diff_5d,signal_win_rate_5d
roll_yield,NI,沪镍,0.02359556091192693,0.02078750136300605,0.02078750136300605,0.2823059554384026,-0.14842827488303367,0.4379459459459447,-0.5863742208289784,3日持有回测收益,,
momentum,NI,沪镍,-0.027872408280885254,-0.039018738521452066,0.039018738521452066,0.04431668673655076,-0.08730112114399091,0.4379459459459447,-0.5252470670899356,3日持有回测收益,,
virtual_real_ratio,NI,沪镍,-0.017120763007340216,-0.024725955689170413,0.024725955689170413,0.20092791456862066,-0.5861927767928583,0.4379459459459447,-1.024138722738803,3日持有回测收益,,
roll_virtual_combo,NI,沪镍,0.03566540383630711,0.049382911847295485,0.049382911847295485,0.011036774625300269,0.939532312311953,0.4379459459459447,0.5015863663660083,3日持有回测收益,,
macd,NI,沪镍,-0.062308254902512454,-0.06612107938985308,0.06612107938985308,0.0006188039171988471,-0.8540751853708648,0.5078918918918867,-1.3619670772627515,日频信号策略收益,-0.00329770350837296,0.4772038567493113
position_price_flow,NI,沪镍,-0.018901017311641233,-0.0467881310856188,0.0467881310856188,0.015477848883288521,-0.010036246786974456,0.4379459459459447,-0.44798219273291917,3日持有回测收益,,
roll_yield,SS,不锈钢,0.01563600215111323,0.023025914436725643,0.023025914436725643,0.364359217589579,-0.37240227412813476,-0.06003210272873105,-0.3123701713994037,3日持有回测收益,,
momentum,SS,不锈钢,-0.0005347526953930812,-0.009433975332592149,0.009433975332592149,0.7096532863170344,-0.0862518128746722,-0.06003210272873105,-0.026219710145941155,3日持有回测收益,,
virtual_real_ratio,SS,不锈钢,-0.0330194846742603,-0.016018894900651243,0.016018894900651243,0.5245969558061208,0.05339989986248095,-0.06003210272873105,0.113432002591212,3日持有回测收益,,
roll_virtual_combo,SS,不锈钢,0.0021576189054685066,-0.012566586242789017,0.012566586242789017,0.6238807021784518,-0.21091271701630043,-0.06003210272873105,-0.15088061428756938,3日持有回测收益,,
macd,SS,不锈钢,-0.04357840770080993,-0.050721280087160786,0.050721280087160786,0.04381744818571244,-0.46245481190570414,-0.06003210272873427,-0.4024227091769699,日频信号策略收益,-0.001939650907399806,0.5039627039627039
position_price_flow,SS,不锈钢,0.00503613554056716,-0.029283700434253847,0.029283700434253847,0.2446946971151931,0.37523942378580255,-0.06003210272873105,0.4352715265145336,3日持有回测收益,,
roll_yield,CU,沪铜,-0.052525352160013625,-0.057696357328015875,0.057696357328015875,0.024721139238869424,0.30649535277157103,1.0184397163120544,-0.7119443635404834,3日持有回测收益,,
momentum,CU,沪铜,-0.03070967462331326,-0.03075059582827448,0.03075059582827448,0.23472888729359306,-0.08662090736042516,1.0184397163120544,-1.1050606236724796,3日持有回测收益,,
virtual_real_ratio,CU,沪铜,0.021362560419540797,0.03231313266663349,0.03231313266663349,0.2087484885347036,0.05644472950320356,1.0184397163120544,-0.9619949868088509,3日持有回测收益,,
roll_virtual_combo,CU,沪铜,0.0628539101304664,0.05500385985429207,0.05500385985429207,0.03399369343002265,0.13846772521907602,1.0184397163120544,-0.8799719910929784,3日持有回测收益,,
macd,CU,沪铜,-0.014758348094041479,-0.011127811461622839,0.011127811461622839,0.6651719069210207,0.4885845475829542,1.0504559270516745,-0.5618713794687202,日频信号策略收益,0.006333089536940669,0.4955197132616488
position_price_flow,CU,沪铜,0.011023825783759031,0.01708519288637965,0.01708519288637965,0.5063661363269237,0.17488341515460548,1.0184397163120544,-0.843556301157449,3日持有回测收益,,
