near,far,pair,near_price,far_price,spread,spread_pct,day_diff,roll_yield,roll_yield_pct,weight,structure
CU2605,CU2606,CU2605-CU2606,103030.0,103180.0,150.0,0.1455886634960691,31,0.017129424797661805,1.7129424797661805,91553.0,contango
CU2606,CU2607,CU2606-CU2607,103180.0,103150.0,-30.0,-0.02907540220973057,30,-0.0035380216407912,-0.35380216407912,89580.0,backwardation
CU2607,CU2608,CU2607-CU2608,103150.0,103040.0,-110.0,-0.10664081434803685,31,-0.012562795607883566,-1.2562795607883566,36012.0,backwardation
CU2608,CU2609,CU2608-CU2609,103040.0,103010.0,-30.0,-0.029114906832298136,31,-0.003428544614870994,-0.3428544614870994,36012.0,backwardation
CU2609,CU2610,CU2609-CU2610,103010.0,102860.0,-150.0,-0.14561693039510726,30,-0.01772963834412078,-1.772963834412078,13725.0,backwardation
CU2610,CU2611,CU2610-CU2611,102860.0,102650.0,-210.0,-0.204160995527902,31,-0.024062882640870677,-2.4062882640870678,12023.0,backwardation
CU2611,CU2612,CU2611-CU2612,102650.0,102640.0,-10.0,-0.00974184120798831,30,-0.001185315083677807,-0.1185315083677807,12023.0,backwardation
CU2612,CU2701,CU2612-CU2701,102640.0,102380.0,-260.0,-0.2533125487139517,31,-0.029863349562884455,-2.9863349562884456,8570.0,backwardation
CU2701,CU2702,CU2701-CU2702,102380.0,102400.0,20.0,0.019535065442469232,31,0.002299871781581778,0.2299871781581778,3027.0,contango
CU2702,CU2703,CU2702-CU2703,102400.0,102310.0,-90.0,-0.087890625,28,-0.011462208600485317,-1.1462208600485317,3027.0,backwardation
