trade_date,ic
2025-10-17,
2025-10-20,
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-27,
2025-10-28,
2025-10-29,
2025-10-30,
2025-10-31,
2025-11-03,
2025-11-04,
2025-11-05,
2025-11-06,
2025-11-07,
2025-11-10,
2025-11-11,
2025-11-12,
2025-11-13,
2025-11-14,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-05,
2026-01-06,
2026-01-07,
2026-01-08,
2026-01-09,
2026-01-12,0.11644459216339387
2026-01-13,0.11818077843101117
2026-01-14,0.1255427368962565
2026-01-15,0.14009274828481866
2026-01-16,0.1329513013241438
2026-01-19,0.12933882446581646
2026-01-20,0.12905749791027363
2026-01-21,0.1223940702215886
2026-01-22,0.10277150995344386
2026-01-23,0.13073998087660524
2026-01-26,0.11034595422943971
2026-01-27,0.09670233488602863
2026-01-28,0.11224362061724204
2026-01-29,-0.049020645015154116
2026-01-30,-0.024002375407051402
2026-02-02,-0.019531843703814895
2026-02-03,-0.02551088369588431
2026-02-04,-0.0193744574793483
2026-02-05,-0.023855256208168866
2026-02-06,-0.04276404928157307
2026-02-09,-0.03718242290749087
2026-02-10,-0.03722235356954799
2026-02-11,-0.037175611618050886
2026-02-12,-0.041105065314444945
2026-02-13,-0.07348326714147858
2026-02-24,-0.08181568151868503
2026-02-25,-0.0758286445492889
2026-02-26,-0.08096716832425073
2026-02-27,-0.11109465496101854
2026-03-02,-0.08285673259398556
2026-03-03,-0.08408371625279455
2026-03-04,-0.08481767313118332
2026-03-05,-0.05919324076304989
2026-03-06,-0.054896100418223785
2026-03-09,-0.05489838268361291
2026-03-10,-0.0653734374987193
2026-03-11,-0.046550039349182164
2026-03-12,-0.0279508668623804
2026-03-13,-0.010697277182819653
2026-03-16,0.022189123025972958
2026-03-17,0.018030062321498445
2026-03-18,0.03182828015204798
2026-03-19,0.026129006202139368
2026-03-20,0.060144227620079246
2026-03-23,0.07232416269683443
2026-03-24,0.025390722775973585
2026-03-25,-0.03768897583181755
2026-03-26,-0.027293925345081536
2026-03-27,-0.001988252448067086
2026-03-30,-0.003696818898439994
2026-03-31,-0.010725634923996578
2026-04-01,-0.001954227724843434
2026-04-02,-0.024574491150427733
2026-04-03,-0.020143163225322905
2026-04-07,-0.00574372000610567
2026-04-08,-0.01755163723871345
2026-04-09,-0.010259957590555419
2026-04-10,0.007949875023893245
2026-04-13,0.028455303529250464
2026-04-14,0.02966859976567945
2026-04-15,0.02493420359365087
2026-04-16,0.026076703100701763
2026-04-17,
2026-04-20,
2026-04-21,
2026-04-22,
2026-04-23,
