trade_date,dominant_code,close,oi,vol,price_change,oi_change,oi_change_pct,vol_change,vol_oi_ratio,price_move_threshold,oi_move_threshold,signal,signal_text,regime,position_flow_score,position_flow_factor
2020-01-02,CU2003.SHF,49350,111621,36142,,,,,0.3237921179706328,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.0
2020-01-03,CU2003.SHF,48900,107465,81773,-0.00911854103343468,-4156.0,-0.03723313713369347,45631.0,0.7609268133811008,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.4635167816712815
2020-01-06,CU2003.SHF,48760,112759,85974,-0.002862985685071595,5294.0,0.04926255059786899,4201.0,0.762457985615339,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.463995649127974
2020-01-07,CU2003.SHF,49010,119226,57599,0.005127153404429929,6467.0,0.05735240645979478,-28375.0,0.4831077114052304,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.6247955986422471
2020-01-08,CU2003.SHF,48860,122405,82785,-0.003060599877576009,3179.0,0.026663647191048856,25186.0,0.6763204117478862,,,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.23603047313472847
2020-01-09,CU2003.SHF,48960,128312,78060,0.002046663937781412,5907.0,0.04825783260487726,-4725.0,0.6083608703784525,0.003060599877576009,0.04825783260487726,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.5030449654265867
2020-01-10,CU2003.SHF,49010,134555,48262,0.0010212418300654669,6243.0,0.048654841324272,-29798.0,0.35867860726097134,0.002961792781323802,0.04845633696457463,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.4967608315433747
2020-01-13,CU2003.SHF,48940,135429,84452,-0.0014282799428687598,874.0,0.00649548511761,36190.0,0.6235887439174771,0.002862985685071595,0.04825783260487726,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.050672051747412405
2020-01-14,CU2003.SHF,49310,142706,99744,0.0075602778912955415,7277.0,0.0537329523218808,15292.0,0.6989474864406542,0.002961792781323802,0.04845633696457463,long_buildup,价格上涨且增仓，偏向多头增仓、资金流入,多头增仓,2,2.6129323021317634
2020-01-15,CU2003.SHF,49260,141576,78508,-0.0010139931048468442,-1130.0,-0.007918377643546859,-21236.0,0.554529016217438,0.002862985685071595,0.04825783260487726,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.08932370748393703
2020-01-16,CU2003.SHF,49200,141900,52450,-0.0012180267965895553,324.0,0.002288523478555682,-26058.0,0.36962649753347426,0.0024548248114265037,0.042745484869285366,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.010704966819661266
2020-01-17,CU2003.SHF,49250,140603,77143,0.00101626016260159,-1297.0,-0.009140239605355926,24693.0,0.5486582789840899,0.002046663937781412,0.03723313713369347,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.08123979442754337
2020-01-20,CU2003.SHF,49100,138502,65995,-0.003045685279187804,-2101.0,-0.01494278215969791,-11148.0,0.476491314204849,0.0024548248114265037,0.031948392162371164,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.17988467438885714
2020-01-21,CU2003.SHF,48420,127620,97077,-0.013849287169042768,-10882.0,-0.07856926253772512,31082.0,0.7606723084156088,0.002862985685071595,0.03723313713369347,long_unwinding,价格下跌且减仓，偏向多头离场、趋势衰减,多头离场,-1,-1.9241854970676788
2020-01-22,CU2003.SHF,48540,121551,56978,0.0024783147459728205,-6069.0,-0.047555242125058794,-40099.0,0.46875796990563634,0.002670650215522208,0.04239418962937613,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.45076927379085974
2020-01-23,CU2003.SHF,48020,114727,58176,-0.010712814173877261,-6824.0,-0.05614104367713968,1198.0,0.5070820295135409,0.002862985685071595,0.047555242125058794,long_unwinding,价格下跌且减仓，偏向多头离场、趋势衰减,多头离场,-1,-1.6685385785101694
2020-02-03,CU2003.SHF,45040,107064,89818,-0.06205747605164513,-7663.0,-0.06679334419970884,31642.0,0.8389187775536128,0.0029543354821296997,0.04790653736496803,long_unwinding,价格下跌且减仓，偏向多头离场、趋势衰减,多头离场,-1,-2.2885082025135395
2020-02-04,CU2003.SHF,45260,107815,53234,0.004884547069271772,751.0,0.007014496002391013,-36584.0,0.49375318833186477,0.003045685279187804,0.047555242125058794,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.11899043071662785
2020-02-05,CU2003.SHF,45550,108033,45362,0.006407423773751697,218.0,0.0020219820989657578,-7872.0,0.4198902187294623,0.0030531425783819066,0.04239418962937613,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.08429405872717455
2020-02-06,CU2003.SHF,46040,107093,35004,0.01075740944017567,-940.0,-0.008701045051049183,-10358.0,0.3268560970371546,0.003060599877576009,0.03723313713369347,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.02056364389126486
2020-02-07,CU2003.SHF,45690,104940,27048,-0.007602085143353587,-2153.0,-0.02010402173811543,-7956.0,0.2577472841623785,0.0039725734734238904,0.031948392162371164,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.27706106881469017
2020-02-10,CU2003.SHF,45410,108030,34784,-0.006128255635806545,3090.0,0.029445397369925574,7736.0,0.3219846338979913,0.0039725734734238904,0.028054522280487215,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.76682858265881
2020-02-11,CU2003.SHF,45580,110694,34415,0.0037436687954195413,2664.0,0.024659816717578442,-369.0,0.31090212658319333,0.004314107932345657,0.02566173195431365,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.28403485512997984
2020-02-12,CU2003.SHF,45580,111420,29553,0.0,726.0,0.00655862106347227,-4862.0,0.265239633817986,0.003402134336497775,0.022381919227846936,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.0655862106347227
2020-02-13,CU2003.SHF,45710,113249,36413,0.002852128126371145,1829.0,0.016415365284509154,6860.0,0.3215304329398052,0.0033946770373036728,0.01825969351131229,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.192674934108803
2020-02-14,CU2003.SHF,45930,114574,26715,0.004812951214176353,1325.0,0.011699882559669472,-9698.0,0.23316808350934767,0.004278310004797947,0.01567907372210353,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.16512833773845825
2020-02-17,CU2004.SHF,46490,110751,55996,0.01219246679730035,-3823.0,-0.03336708153682333,29281.0,0.5056026582152757,0.0048487491417240625,0.01567907372210353,short_covering,价格上涨但减仓，更像空头回补推动的反弹,空头回补,1,0.7882538526047702
2020-02-18,CU2004.SHF,46270,110530,43655,-0.004732200473220094,-221.0,-0.0019954673095502473,-12341.0,0.3949606441690039,0.0048487491417240625,0.01567907372210353,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.06727667782770341
2020-02-19,CU2004.SHF,46400,112056,39541,0.0028095958504430474,1526.0,0.013806206459784587,-4114.0,0.3528682087527665,0.0047725758436982235,0.014374494309741248,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.16615802310227634
2020-02-20,CU2004.SHF,46430,113171,63893,0.000646551724137856,1115.0,0.009950381951881138,24352.0,0.5645704288201041,0.0047725758436982235,0.014374494309741248,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.10596933676018994
2020-02-21,CU2004.SHF,45990,115952,62210,-0.009476631488261944,2781.0,0.024573433123326716,-1683.0,0.5365151097005657,0.0048487491417240625,0.01567907372210353,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.8490319836493523
2020-02-24,CU2004.SHF,46000,117756,75484,0.00021743857360290164,1804.0,0.015558161998068254,13274.0,0.6410204150956215,0.0048487491417240625,0.015986763641288704,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.15775600571671156
2020-02-25,CU2004.SHF,45950,121748,62341,-0.0010869565217391797,3992.0,0.03390060803695771,-13143.0,0.5120494792522259,0.0048487491417240625,0.01825969351131229,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.32813651515218534
2020-02-26,CU2004.SHF,45630,122461,55268,-0.00696409140369969,713.0,0.005856359036698677,-7073.0,0.4513110296339243,0.0048487491417240625,0.015986763641288704,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.01107732367001013
2020-02-27,CU2004.SHF,45440,126637,54248,-0.004163927240850351,4176.0,0.03410065245261751,-1020.0,0.42837401391378505,0.0048487491417240625,0.015986763641288704,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.29936725211767157
2020-02-28,CU2004.SHF,44390,128432,119804,-0.02310739436619713,1795.0,0.01417437241880326,65556.0,0.93282048087704,0.0048487491417240625,0.014866267208435757,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.08933021947393871
2020-03-02,CU2004.SHF,45230,123662,80877,0.01892318089659839,-4770.0,-0.037140276566587804,-38927.0,0.6540165936180881,0.0048487491417240625,0.014866267208435757,short_covering,价格上涨但减仓，更像空头回补推动的反弹,空头回补,1,0.8178290433001059
2020-03-03,CU2004.SHF,45620,123145,53516,0.00862259562237444,-517.0,-0.004180750756093254,-27361.0,0.43457712452799546,0.005470603424991449,0.014866267208435757,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,0.04441844866281186
2020-03-04,CU2004.SHF,45280,122199,45562,-0.007452871547566908,-946.0,-0.00768200089325588,-7954.0,0.3728508416599154,0.005470603424991449,0.014866267208435757,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.15134872440822789
2020-03-05,CU2004.SHF,45320,121583,31073,0.0008833922261484162,-616.0,-0.00504095778197855,-14489.0,0.25557026886982553,0.0047725758436982235,0.014866267208435757,neutral,价格与持仓变化均不显著，资金方向暂不明确,震荡观望,0,-0.04157565555830134
2020-03-06,CU2004.SHF,44900,125189,38564,-0.00926743159752863,3606.0,0.029658751634685787,7491.0,0.3080462340940498,0.0047725758436982235,0.014866267208435757,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-1.7960867996284287
2020-03-09,CU2004.SHF,43750,127014,61676,-0.025612472160356337,1825.0,0.014577958127311552,23112.0,0.4855842663013526,0.0047725758436982235,0.014376165273057406,short_buildup,价格下跌且增仓，偏向空头增仓、情绪偏空,空头增仓,-2,-2.110345140330448
