trade_date,ic
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,0.08661643140254839
2020-04-03,0.08122464713948328
2020-04-07,0.09055100613339187
2020-04-08,0.08725953133297085
2020-04-09,0.08268814287447289
2020-04-10,0.08462095854631693
2020-04-13,0.0854491838799009
2020-04-14,0.08137289095319696
2020-04-15,0.07976060449301832
2020-04-16,0.09779828236846813
2020-04-17,0.097838202099138
2020-04-20,0.1019235711262206
2020-04-21,0.11101853902216328
2020-04-22,0.08446599124161225
2020-04-23,0.05492946035067344
2020-04-24,0.049658832621534935
2020-04-27,0.03947799888575555
2020-04-28,0.0556088711372295
2020-04-29,0.056321467081422535
2020-04-30,0.05639996017717196
2020-05-06,0.05667805978615444
2020-05-07,0.05227888911206327
2020-05-08,0.07916543534538822
2020-05-11,0.07579336460618226
2020-05-12,0.07273590475678736
2020-05-13,0.07074853889352493
2020-05-14,0.0664788663553099
2020-05-15,0.07275226793495664
2020-05-18,0.0705857967948516
2020-05-19,0.0724410516190423
2020-05-20,0.0742757267114827
2020-05-21,0.03332824799985749
2020-05-22,0.019389697316933272
2020-05-25,0.027422065920730623
2020-05-26,0.029366766627173312
2020-05-27,0.0279047561400165
2020-05-28,0.02743109406064288
2020-05-29,0.042095793007358
2020-06-01,0.06973770514776836
2020-06-02,0.062424162419341976
2020-06-03,0.05963392368459259
2020-06-04,0.029330116670154924
2020-06-05,0.02720381001194954
2020-06-08,0.0300936720232068
2020-06-09,0.021900272462467996
2020-06-10,0.0054355421011861365
2020-06-11,-0.0053346364108025224
2020-06-12,-0.04534760742546596
2020-06-15,-0.1584280849628498
2020-06-16,-0.27152510178759076
2020-06-17,-0.24753818857451956
2020-06-18,-0.25344457425156275
2020-06-19,-0.18979689019367849
2020-06-22,-0.18879702487010225
2020-06-23,-0.14505729614965227
2020-06-24,-0.14543737751174265
2020-06-29,-0.15085492862079136
2020-06-30,-0.1492500339592807
2020-07-01,-0.1544446980632426
2020-07-02,-0.14879056981763666
2020-07-03,-0.16783457859525763
2020-07-06,-0.17518329253301648
2020-07-07,-0.18572265458370696
2020-07-08,-0.12767202642592723
2020-07-09,-0.126115304215806
2020-07-10,-0.1257649417678834
2020-07-13,-0.11785378335576478
2020-07-14,-0.10351060814662827
2020-07-15,-0.10435656970400127
2020-07-16,-0.11355624226145053
2020-07-17,-0.15294063812325973
2020-07-20,-0.1524318425850988
2020-07-21,-0.14468812671976264
2020-07-22,-0.16347291036662273
2020-07-23,-0.14871068375531737
2020-07-24,-0.13533494620517453
2020-07-27,-0.12562990649785657
2020-07-28,-0.11630373708986103
2020-07-29,-0.11430999986610678
2020-07-30,-0.11294512997482756
2020-07-31,-0.10106258340584189
2020-08-03,-0.0309800441951611
2020-08-04,-0.042299409922439545
2020-08-05,-0.0289029794675314
2020-08-06,-0.020007962430262
2020-08-07,-0.0090620682195558
2020-08-10,-0.0012467595889848998
2020-08-11,0.0026730580259228497
2020-08-12,-0.03933982030329272
2020-08-13,-0.036846517028523686
2020-08-14,-0.0416082209049995
2020-08-17,-0.009928585879427375
2020-08-18,-0.004631506363901378
2020-08-19,-0.06638943917382073
2020-08-20,-0.06168042619838794
2020-08-21,-0.053768242307442767
2020-08-24,-0.045387673204888096
2020-08-25,-0.050563560520021686
2020-08-26,-0.0703845854337554
2020-08-27,-0.06015561375855213
2020-08-28,-0.07315032230782273
2020-08-31,-0.06360109875458857
2020-09-01,-0.12490893128243243
2020-09-02,-0.10179200278645088
2020-09-03,-0.09696557910788224
2020-09-04,-0.09455937460247107
2020-09-07,-0.09713148409915255
2020-09-08,-0.09220864225716258
2020-09-09,-0.07618466894209676
2020-09-10,-0.07253327096113765
2020-09-11,-0.066081082287188
2020-09-14,-0.053709036772538014
2020-09-15,-0.0868000134398935
2020-09-16,-0.07156031461186284
2020-09-17,-0.09436719870765055
2020-09-18,-0.09667204531957264
2020-09-21,-0.11540828298431545
2020-09-22,-0.12725118199838106
2020-09-23,-0.15038719123555375
2020-09-24,-0.16039917318071398
2020-09-25,-0.13023041614513772
2020-09-28,-0.1219347629389004
2020-09-29,-0.12297480957604325
2020-09-30,-0.24527179081572506
2020-10-09,-0.24491053198052504
2020-10-12,-0.24087622182456644
2020-10-13,-0.23849182312569356
2020-10-14,-0.23956102932287063
2020-10-15,-0.2398464422018707
2020-10-16,-0.2334490816368534
2020-10-19,-0.24714203812293434
2020-10-20,-0.24915335000344685
2020-10-21,-0.25597545992377196
2020-10-22,-0.24587059249056195
2020-10-23,-0.2438306693770318
2020-10-26,-0.2315880831932559
2020-10-27,-0.2324824375823027
2020-10-28,-0.23205440803006078
2020-10-29,-0.22783387774147087
2020-10-30,-0.2383624288613351
2020-11-02,-0.24218253276402013
2020-11-03,-0.275884195742116
2020-11-04,-0.26743769267188294
2020-11-05,-0.28030526885170426
2020-11-06,-0.2836793270650482
2020-11-09,-0.2736231138769869
2020-11-10,-0.29431591754148145
2020-11-11,-0.2903700996858851
2020-11-12,-0.24692471477542519
2020-11-13,-0.2066879273884158
2020-11-16,-0.19075682569738742
2020-11-17,-0.24131061969844875
2020-11-18,-0.23343996182231672
2020-11-19,-0.24302612511837746
2020-11-20,-0.06800296220122182
2020-11-23,0.06287027879773711
2020-11-24,0.13200703325608384
2020-11-25,0.1239134907947446
2020-11-26,0.1534760784520022
2020-11-27,0.15299359257268222
2020-11-30,0.17233286456131597
2020-12-01,0.18258559519973935
2020-12-02,0.22546958285658733
2020-12-03,0.2120589738574656
2020-12-04,0.2106462229426434
2020-12-07,0.20544160092682087
2020-12-08,0.2029536164077444
2020-12-09,0.2047010157132393
2020-12-10,0.18902911165332734
