trade_date,ic
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,-0.43500570638548086
2020-04-03,-0.46526581405830886
2020-04-07,-0.47486022334970296
2020-04-08,-0.4764898764186322
2020-04-09,-0.4802417787466902
2020-04-10,-0.4801978893763456
2020-04-13,-0.4832456443707792
2020-04-14,-0.47578993961371346
2020-04-15,-0.45965058446359286
2020-04-16,-0.4607616773771232
2020-04-17,-0.45015785990924767
2020-04-20,-0.4462660712674314
2020-04-21,-0.46032544915622614
2020-04-22,-0.47923662076639884
2020-04-23,-0.48904537900427913
2020-04-24,-0.4936923917862415
2020-04-27,-0.495636797933685
2020-04-28,-0.5088637504827725
2020-04-29,-0.518431690054101
2020-04-30,-0.5174755049347124
2020-05-06,-0.5138051503338792
2020-05-07,-0.5079423426577568
2020-05-08,-0.5080445191081864
2020-05-11,-0.5077991399865948
2020-05-12,-0.5203968231903207
2020-05-13,-0.5367428145365463
2020-05-14,-0.5531159193853615
2020-05-15,-0.5514694753730278
2020-05-18,-0.5543785440709285
2020-05-19,-0.5531445398765965
2020-05-20,-0.5497760744722242
2020-05-21,-0.5422020521174633
2020-05-22,-0.5438715923462834
2020-05-25,-0.5490374532932207
2020-05-26,-0.552611384822359
2020-05-27,-0.5622033298355015
2020-05-28,-0.5798213253711253
2020-05-29,-0.5762354554719502
2020-06-01,-0.5771007093970396
2020-06-02,-0.5768022803663504
2020-06-03,-0.5662085436013177
2020-06-04,-0.5589325800666162
2020-06-05,-0.5521356729323295
2020-06-08,-0.535942617291682
2020-06-09,-0.48843263489139055
2020-06-10,-0.42115993123150347
2020-06-11,-0.3322111017771971
2020-06-12,-0.2085903569612209
2020-06-15,-0.002761132983578944
2020-06-16,0.09654642745030502
2020-06-17,0.06229906723580579
2020-06-18,0.08525007802497214
2020-06-19,0.00016348005800274155
2020-06-22,-0.049678302506149824
2020-06-23,0.04787606931034685
2020-06-24,0.046822269093970484
2020-06-29,0.0534287456781154
2020-06-30,0.012481614046502222
2020-07-01,-0.03449520957457814
2020-07-02,-0.099263859543377
2020-07-03,-0.13886827051738954
2020-07-06,-0.12603460110714376
2020-07-07,-0.13395978914249818
2020-07-08,-0.1380584142775336
2020-07-09,-0.1406684527523047
2020-07-10,-0.1367067958799633
2020-07-13,-0.16746981137592953
2020-07-14,-0.13644920186498632
2020-07-15,-0.11753066991606957
2020-07-16,-0.11602896112552655
2020-07-17,-0.08484389156289586
2020-07-20,-0.08275120428083366
2020-07-21,-0.10659646972284666
2020-07-22,-0.14067308529400552
2020-07-23,-0.15261262265604908
2020-07-24,-0.1519076887820776
2020-07-27,-0.1685583651996468
2020-07-28,-0.19084152606430688
2020-07-29,-0.20675007289676062
2020-07-30,-0.22385474285461393
2020-07-31,-0.25617669746727323
2020-08-03,-0.2999856784274501
2020-08-04,-0.3797199050752393
2020-08-05,-0.4487212426420649
2020-08-06,-0.4849636843886079
2020-08-07,-0.5242266536912246
2020-08-10,-0.5060448648283091
2020-08-11,-0.5162990656028734
2020-08-12,-0.45378965031420593
2020-08-13,-0.40523227349512825
2020-08-14,-0.3654520957610672
2020-08-17,-0.3423065758528457
2020-08-18,-0.3433478434539955
2020-08-19,-0.374694485157788
2020-08-20,-0.39282159855622345
2020-08-21,-0.3945770484164954
2020-08-24,-0.39203124695015984
2020-08-25,-0.35633305732075315
2020-08-26,-0.3455471215246522
2020-08-27,-0.3415090259905168
2020-08-28,-0.3536278264539521
2020-08-31,-0.361265073540329
2020-09-01,-0.37552530568471454
2020-09-02,-0.3805571126532963
2020-09-03,-0.38730619812801287
2020-09-04,-0.3874177602459427
2020-09-07,-0.39435907630754174
2020-09-08,-0.40061948073402026
2020-09-09,-0.3955770571562741
2020-09-10,-0.40192708826393003
2020-09-11,-0.3865306131220193
2020-09-14,-0.36408572186036353
2020-09-15,-0.35947180615868385
2020-09-16,-0.33471544044881185
2020-09-17,-0.3163034122051517
2020-09-18,-0.3161593834979169
2020-09-21,-0.3246254956398323
2020-09-22,-0.3388177078815623
2020-09-23,-0.3457192576089593
2020-09-24,-0.3139644584794016
2020-09-25,-0.2821874862888157
2020-09-28,-0.22160898462048573
2020-09-29,-0.13869576616638715
2020-09-30,-0.04880921328262698
2020-10-09,-0.05325478251698577
2020-10-12,-0.0031418893251413463
2020-10-13,-0.04556403026272041
2020-10-14,-0.050546506385382606
2020-10-15,-0.017444603691889746
2020-10-16,0.10359492064285927
2020-10-19,0.11100661248765446
2020-10-20,0.1420826763290964
2020-10-21,0.1044779826856851
2020-10-22,0.04938486116099474
2020-10-23,0.003493048032143983
2020-10-26,0.014069297757795567
2020-10-27,-0.013442899594151177
2020-10-28,-0.0196988271673727
2020-10-29,-0.056732163332133774
2020-10-30,-0.05989041112074795
2020-11-02,-0.06387146945071952
2020-11-03,-0.113177670786739
2020-11-04,-0.14266786609545196
2020-11-05,-0.18332644554968175
2020-11-06,-0.22128192256817475
2020-11-09,-0.20782901856606573
2020-11-10,-0.1749462581550212
2020-11-11,-0.14999576249478125
2020-11-12,-0.06512596412924211
2020-11-13,-0.033914147471832475
2020-11-16,0.009179997832304677
2020-11-17,0.08797343491540745
2020-11-18,0.12471244204021648
2020-11-19,0.23206640515446886
2020-11-20,0.30382297059092606
2020-11-23,0.3315758145722814
2020-11-24,0.35590448207680264
2020-11-25,0.38794891329277864
2020-11-26,0.3801529328843148
2020-11-27,0.36647166822236327
2020-11-30,0.3788382287591629
2020-12-01,0.3846607225895755
2020-12-02,0.3756782471468705
2020-12-03,0.35839637155628357
2020-12-04,0.3527558966279655
2020-12-07,0.342805568298316
2020-12-08,0.33023008592765163
