trade_date,ic
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,0.17837643620496474
2020-04-03,0.18398158201436862
2020-04-07,0.1850420979170064
2020-04-08,0.18668642536522836
2020-04-09,0.18047817909295538
2020-04-10,0.18030560901446754
2020-04-13,0.1811472181615234
2020-04-14,0.18777734670578908
2020-04-15,0.18772760727584653
2020-04-16,0.1860958611646724
2020-04-17,0.18152837066429056
2020-04-20,0.1792051422687212
2020-04-21,0.18533127987431958
2020-04-22,0.20632854492343505
2020-04-23,0.22922969671678825
2020-04-24,0.21954778217815699
2020-04-27,0.2162664315586253
2020-04-28,0.21017832665560082
2020-04-29,0.21149407377595247
2020-04-30,0.20858476432904122
2020-05-06,0.20097926015468312
2020-05-07,0.20295863892404464
2020-05-08,0.20939944006966615
2020-05-11,0.21839089580479445
2020-05-12,0.23810799047374062
2020-05-13,0.250124363212542
2020-05-14,0.2575787905236785
2020-05-15,0.2573328088581877
2020-05-18,0.25300604707042906
2020-05-19,0.2490174061449008
2020-05-20,0.24745331021645145
2020-05-21,0.24370841086620873
2020-05-22,0.24631773882034697
2020-05-25,0.23729241541597554
2020-05-26,0.23459285595401683
2020-05-27,0.24484479370766168
2020-05-28,0.24716817740664984
2020-05-29,0.2511379062745697
2020-06-01,0.24512727423285663
2020-06-02,0.2302255617389656
2020-06-03,0.22170104909382843
2020-06-04,0.20983189832182753
2020-06-05,0.20617335006789533
2020-06-08,0.2008142246024949
2020-06-09,0.17137877671544324
2020-06-10,0.15160550683833762
2020-06-11,0.11432341737973789
2020-06-12,0.006572213941813824
2020-06-15,0.04089045144919027
2020-06-16,0.06133042271577767
2020-06-17,0.08296549529104501
2020-06-18,0.08044743409774135
2020-06-19,-0.04754197484775339
2020-06-22,-0.07040157516199039
2020-06-23,-0.0035185506325250897
2020-06-24,-0.0045870210444760124
2020-06-29,0.0018912478308351053
2020-06-30,0.003240584311759342
2020-07-01,-0.011145423840986818
2020-07-02,-2.8675769094652557e-05
2020-07-03,0.008369613437020005
2020-07-06,0.03712309441822696
2020-07-07,0.06001392990312262
2020-07-08,0.0843450465635137
2020-07-09,0.12568606142527528
2020-07-10,0.14321685320028812
2020-07-13,-0.12539748468012477
2020-07-14,-0.13563753206925555
2020-07-15,-0.11534579615464617
2020-07-16,-0.10950268984800693
2020-07-17,-0.14066414023655846
2020-07-20,-0.16506956351034988
2020-07-21,-0.17957705116367606
2020-07-22,-0.20712323910341196
2020-07-23,-0.22668370603817692
2020-07-24,-0.20758588478113202
2020-07-27,-0.21314724272022953
2020-07-28,-0.2176353321322021
2020-07-29,-0.21064440414116392
2020-07-30,-0.2108991382829652
2020-07-31,-0.21776958149373452
2020-08-03,-0.23444502231063363
2020-08-04,-0.25859105371178914
2020-08-05,-0.2728614078715687
2020-08-06,-0.28210931952885304
2020-08-07,-0.266294680904353
2020-08-10,-0.2547142316076604
2020-08-11,-0.2483744765925037
2020-08-12,-0.21918615223320034
2020-08-13,-0.2371796306312918
2020-08-14,-0.22876489515782072
2020-08-17,-0.25125625355546105
2020-08-18,-0.2583447914322167
2020-08-19,-0.2823164575005988
2020-08-20,-0.30234497794203313
2020-08-21,-0.2897233586895586
2020-08-24,-0.2805507473950166
2020-08-25,-0.2789932356612113
2020-08-26,-0.28206890863533696
2020-08-27,-0.30056486147601297
2020-08-28,-0.29325144120171803
2020-08-31,-0.2586481573496343
2020-09-01,-0.214103918770929
2020-09-02,-0.21453358696527378
2020-09-03,-0.21834949639167264
2020-09-04,-0.2244020391311561
2020-09-07,-0.23743915488763262
2020-09-08,-0.203542318486906
2020-09-09,-0.2196446486760231
2020-09-10,-0.22412988078884946
2020-09-11,-0.23378328303185425
2020-09-14,-0.2170606020528725
2020-09-15,-0.2125390098467193
2020-09-16,-0.21860082538852074
2020-09-17,-0.2258335524773309
2020-09-18,-0.21348932788201289
2020-09-21,-0.17276280563381474
2020-09-22,-0.1899472847495486
2020-09-23,-0.19506415641920796
2020-09-24,-0.17252508768244118
2020-09-25,-0.17482894598837267
2020-09-28,-0.1673024134707008
2020-09-29,-0.15814728459111363
2020-09-30,-0.13363308086772144
2020-10-09,-0.13430642266962967
2020-10-12,-0.15050522556315854
2020-10-13,-0.0025985805839271606
2020-10-14,-0.003048101095294036
2020-10-15,-0.02590907257851254
2020-10-16,-0.05954049118533252
2020-10-19,-0.054496280088370166
2020-10-20,-0.04731451515950547
2020-10-21,-0.04758964990910868
2020-10-22,-0.03753912542081025
2020-10-23,-0.026808990698562744
2020-10-26,-0.043714896823312886
2020-10-27,-0.03051345177509949
2020-10-28,-0.018511862254102222
2020-10-29,-0.02497644336005388
2020-10-30,-0.019083123515669865
2020-11-02,-0.010727524406579958
2020-11-03,-0.01350514427682673
2020-11-04,-0.01568308486791154
2020-11-05,-0.03875433058620954
2020-11-06,-0.05179815833701926
2020-11-09,-0.07332430631073604
2020-11-10,-0.07813183886743151
2020-11-11,-0.10725275098115716
2020-11-12,-0.1611004887295268
2020-11-13,-0.1740668510198557
2020-11-16,-0.23520938420369988
2020-11-17,-0.22448555592616673
2020-11-18,-0.21661911449401203
2020-11-19,-0.22463550874020835
2020-11-20,-0.21740533932989478
2020-11-23,-0.17506731968756553
2020-11-24,-0.16860110396291256
2020-11-25,-0.14130736777879
2020-11-26,-0.14949868658093657
2020-11-27,-0.11732445219106699
2020-11-30,-0.15369171227635053
2020-12-01,-0.14732582635400562
2020-12-02,-0.17665333152854032
2020-12-03,-0.17883603354185118
2020-12-04,-0.18291944802296775
2020-12-07,-0.1773079453551543
2020-12-08,-0.16885931779423377
2020-12-09,-0.20234815946867682
