trade_date,ic
2025-10-17,
2025-10-20,
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-27,
2025-10-28,
2025-10-29,
2025-10-30,
2025-10-31,
2025-11-03,
2025-11-04,
2025-11-05,
2025-11-06,
2025-11-07,
2025-11-10,
2025-11-11,
2025-11-12,
2025-11-13,
2025-11-14,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-05,
2026-01-06,
2026-01-07,
2026-01-08,
2026-01-09,
2026-01-12,0.11376707990316438
2026-01-13,0.10635958976915005
2026-01-14,0.09147081272041871
2026-01-15,0.10575590452663652
2026-01-16,0.10554080352841143
2026-01-19,0.10646664979439134
2026-01-20,0.11238057411209114
2026-01-21,0.11074152759058838
2026-01-22,0.10721515192984048
2026-01-23,0.17084147716155773
2026-01-26,0.1500856408412422
2026-01-27,0.1480325704279815
2026-01-28,0.15112982620788842
2026-01-29,0.01960830293687919
2026-01-30,0.051798184047140504
2026-02-02,0.03997746659123798
2026-02-03,0.0400906990088888
2026-02-04,0.043057429996280296
2026-02-05,0.04468788265647582
2026-02-06,0.06013526034652795
2026-02-09,0.06172608841848338
2026-02-10,0.0559324111108184
2026-02-11,0.04513074088654579
2026-02-12,0.03993018615496435
2026-02-13,0.046667255751928934
2026-02-24,0.05258302376440684
2026-02-25,0.048597580078947704
2026-02-26,0.056869640669118565
2026-02-27,0.04835248744429248
2026-03-02,0.04441085834905437
2026-03-03,0.04421884717774082
2026-03-04,0.03932311252407075
2026-03-05,0.040527102944719284
2026-03-06,0.03652669916421746
2026-03-09,0.034772496667044836
2026-03-10,0.04031847479630992
2026-03-11,0.04594095855079086
2026-03-12,0.050070458341898494
2026-03-13,0.03943851941381896
2026-03-16,0.035756223000222416
2026-03-17,0.04664516808001223
2026-03-18,0.04790895488547742
2026-03-19,0.0482698790762484
2026-03-20,0.052087510934865223
2026-03-23,0.03430271052766937
2026-03-24,-0.007160209197877358
2026-03-25,-0.039887565804147936
2026-03-26,-0.0500619617994023
2026-03-27,-0.05584747707051551
2026-03-30,-0.07274412530177242
2026-03-31,-0.05137969739735695
2026-04-01,-0.06239928824464082
2026-04-02,-0.061853439703667835
2026-04-03,-0.07381015267104787
2026-04-07,-0.07754033600045844
2026-04-08,-0.06988980308265252
2026-04-09,-0.07101218705117324
2026-04-10,-0.05662609775198214
2026-04-13,-0.035987109584000886
2026-04-14,-0.027176344304456614
2026-04-15,-0.028661560839985844
2026-04-16,-0.021232872783750124
2026-04-17,-0.00585868821024368
2026-04-20,-0.022738787297414374
2026-04-21,
2026-04-22,
2026-04-23,
