trade_date,ic
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,-0.26486152346907765
2015-07-27,-0.33994743072978906
2015-07-28,-0.41691490118072777
2015-07-29,-0.47272701072315826
2015-07-30,-0.5027297631395061
2015-07-31,-0.5273961031621176
2015-08-03,-0.5582412252207678
2015-08-04,-0.5591895912056928
2015-08-05,-0.5456036980676476
2015-08-06,-0.4894003077117023
2015-08-07,-0.44460222036912866
2015-08-10,-0.36024110481773414
2015-08-11,-0.28793567473233367
2015-08-12,-0.23940697910327108
2015-08-13,-0.22643333508104335
2015-08-14,-0.24164645636267792
2015-08-17,-0.26854340744871247
2015-08-18,-0.26212671690988976
2015-08-19,-0.3061791700192095
2015-08-20,-0.33221405277556965
2015-08-21,-0.3448938563236402
2015-08-24,-0.34390606528787176
2015-08-25,-0.3494768654367823
2015-08-26,-0.36620732205652645
2015-08-27,-0.34907078310863104
2015-08-28,-0.33524261838947866
2015-08-31,-0.31119181481019004
2015-09-01,-0.3002143111724457
2015-09-02,-0.2883552795226189
2015-09-07,-0.2832520058988096
2015-09-08,-0.2750431033233504
2015-09-09,-0.27362139435326144
2015-09-10,-0.27101609384591074
2015-09-11,-0.2661229989246841
2015-09-14,-0.2647763866272784
2015-09-15,-0.2605628807430011
2015-09-16,-0.2586348582720225
2015-09-17,-0.24695194228718512
2015-09-18,-0.22470076908729397
2015-09-21,-0.20469144747522727
2015-09-22,-0.20134938339276676
2015-09-23,-0.1858158553839894
2015-09-24,-0.15970402380406654
2015-09-25,-0.14836562653813365
2015-09-28,-0.1251752930134488
2015-09-29,-0.12105554973310408
2015-09-30,-0.12191007978994245
2015-10-08,-0.07889911211984994
2015-10-09,0.03605734331188096
2015-10-12,0.06196268888018599
2015-10-13,0.07327154798874007
2015-10-14,0.13028428630749736
2015-10-15,0.17568868791311024
2015-10-16,0.16825940315590948
2015-10-19,0.164571631258865
2015-10-20,0.15989333641636852
2015-10-21,0.1483533337330335
2015-10-22,0.12842796106147455
2015-10-23,0.09645991531678388
2015-10-26,0.06923200807064507
2015-10-27,0.02872882671863319
2015-10-28,-0.014157540785443104
2015-10-29,-0.05725666260617329
2015-10-30,-0.07447876235126899
2015-11-02,-0.09262300645042286
2015-11-03,-0.11193930151694147
2015-11-04,-0.10320858744365301
2015-11-05,-0.09579711736942949
2015-11-06,-0.09178919024868296
2015-11-09,-0.08289911870401694
2015-11-10,-0.054513919608390984
2015-11-11,-0.046567074728186296
2015-11-12,-0.01393706802234398
2015-11-13,0.026632873367914096
2015-11-16,0.0828007295709939
2015-11-17,0.12921746229291523
2015-11-18,0.14616045637146785
2015-11-19,0.07928798524059573
2015-11-20,0.04507885093750006
2015-11-23,-0.0714421245675523
2015-11-24,-0.15869521820804183
2015-11-25,-0.18299595271486913
2015-11-26,-0.14006317931225687
2015-11-27,-0.1151109428483919
2015-11-30,-0.12339214884932576
2015-12-01,-0.1210654017582273
2015-12-02,-0.11097700508850863
2015-12-03,-0.1002950254974643
2015-12-04,-0.09789773438817487
2015-12-07,-0.09666015758314507
2015-12-08,-0.10413230324325404
2015-12-09,-0.10951455874613963
2015-12-10,-0.12276486759360737
2015-12-11,-0.12552569404609554
2015-12-14,-0.12444781452576234
2015-12-15,-0.11799856093468308
2015-12-16,-0.11775835283115926
2015-12-17,-0.1160972082312012
2015-12-18,-0.1218426956741555
2015-12-21,-0.15457518751157498
2015-12-22,-0.16366998539571503
2015-12-23,-0.1631823592131207
2015-12-24,-0.1724215627843734
2015-12-25,-0.19703421881600475
2015-12-28,-0.21459727164886652
2015-12-29,-0.2172821302776235
2015-12-30,-0.2388021767226184
2015-12-31,-0.2812625711281543
2016-01-04,-0.30494845186927066
2016-01-05,-0.31062737051819145
2016-01-06,-0.32005501257538466
2016-01-07,-0.3183832774832813
2016-01-08,-0.3083546536964345
2016-01-11,-0.304927842907281
2016-01-12,-0.30896683148550524
2016-01-13,-0.32006634204425416
2016-01-14,-0.3249869936941231
2016-01-15,-0.3233976016169828
2016-01-18,-0.31127941276309595
2016-01-19,-0.3076710669915615
2016-01-20,-0.2910669598408951
2016-01-21,-0.27547063942824057
2016-01-22,-0.2511247279509377
2016-01-25,-0.2431153580683125
2016-01-26,-0.23246846341084246
2016-01-27,-0.22956552485008203
2016-01-28,-0.2193928523449792
2016-01-29,-0.21990678676281647
2016-02-01,-0.23334663151767776
2016-02-02,-0.24259901316697396
2016-02-03,-0.26192945675415324
2016-02-04,-0.2858340726323118
2016-02-05,-0.31654989826919866
2016-02-15,-0.34045782725570606
2016-02-16,-0.4040765804415783
2016-02-17,-0.4763357564682145
2016-02-18,-0.5100762853043161
2016-02-19,-0.5084232886633867
2016-02-22,-0.5193351370691259
2016-02-23,-0.462503627912057
2016-02-24,-0.38666591662612815
2016-02-25,-0.35906831718847043
2016-02-26,-0.4359524590178941
2016-02-29,-0.44641334546209444
2016-03-01,-0.4314663746420068
2016-03-02,-0.4707123551424204
2016-03-03,-0.5294064772956097
2016-03-04,-0.5807518977230153
2016-03-07,-0.6330104152238366
2016-03-08,-0.6596730722856913
2016-03-09,-0.6653348459449737
2016-03-10,-0.6594647775673742
2016-03-11,-0.6506156119423372
2016-03-14,-0.6477835478400137
2016-03-15,-0.6415879821044612
2016-03-16,-0.6325493354234508
2016-03-17,-0.6304083909027685
2016-03-18,-0.6324023900738368
2016-03-21,-0.6294887257806777
2016-03-22,-0.6208765515884035
