trade_date,ic
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,0.21768694378136766
2015-06-29,0.2241462767626365
2015-06-30,0.23668752710353205
2015-07-01,0.2345625178822791
2015-07-02,0.21882326425360846
2015-07-03,0.2307403504308584
2015-07-06,0.23421977621023043
2015-07-07,0.2321524751695204
2015-07-08,0.22690368938370126
2015-07-09,0.24363694160452504
2015-07-10,0.24878371792505233
2015-07-13,0.21109852651461045
2015-07-14,0.21239705014543903
2015-07-15,0.21560768746940756
2015-07-16,0.19812991054211365
2015-07-17,0.20320968346443838
2015-07-20,0.2145654647969672
2015-07-21,0.15815876532890688
2015-07-22,0.16363989983173885
2015-07-23,0.1529133090960767
2015-07-24,0.1682964633034812
2015-07-27,0.04758721441513876
2015-07-28,0.03804620326579069
2015-07-29,0.02137878965849251
2015-07-30,0.017676504792947002
2015-07-31,0.02669524962549408
2015-08-03,0.02613184373633144
2015-08-04,0.061287956645693885
2015-08-05,0.054702624358860544
2015-08-06,0.04827127312525026
2015-08-07,0.04792647757424105
2015-08-10,0.08714424664615697
2015-08-11,0.027617119039734895
2015-08-12,-0.019655851941924207
2015-08-13,-0.04283810216252915
2015-08-14,-0.04541620438804242
2015-08-17,-0.04638623336086146
2015-08-18,-0.04880267939758852
2015-08-19,-0.07343123574388066
2015-08-20,-0.04362395181524691
2015-08-21,-0.08565028087506148
2015-08-24,-0.08593015837356571
2015-08-25,-0.16306928659508646
2015-08-26,-0.1512103169567096
2015-08-27,-0.15996580143437403
2015-08-28,-0.16861128663908878
2015-08-31,-0.18833106622354273
2015-09-01,-0.24893922391123186
2015-09-02,-0.24853169998475075
2015-09-07,-0.2397475883304338
2015-09-08,-0.17117926881741477
2015-09-09,-0.17532702527883218
2015-09-10,-0.17964256710584936
2015-09-11,-0.17947029608684056
2015-09-14,-0.18095741377167593
2015-09-15,-0.18190738914348137
2015-09-16,-0.176051409373284
2015-09-17,-0.17689728231676083
2015-09-18,-0.1787197909002221
2015-09-21,-0.18065744793591093
2015-09-22,-0.1826087665577594
2015-09-23,-0.1910644947040109
2015-09-24,-0.19161093797476378
2015-09-25,-0.1880162920288097
2015-09-28,-0.16446080306712527
2015-09-29,-0.21709101460723407
2015-09-30,-0.21085330069883385
2015-10-08,-0.202033058655167
2015-10-09,-0.1845421971086511
2015-10-12,-0.18467311390948601
2015-10-13,-0.20724505530025608
2015-10-14,-0.16601822332825686
2015-10-15,-0.19583896464245856
2015-10-16,-0.1908421904162088
2015-10-19,-0.15882919552728647
2015-10-20,-0.1810486451137615
2015-10-21,-0.17944766123757389
2015-10-22,-0.11418826304102146
2015-10-23,-0.1589909915534279
2015-10-26,-0.16103161538223762
2015-10-27,-0.15746604636104314
2015-10-28,-0.15106809176082928
2015-10-29,-0.1517738279388748
2015-10-30,-0.14781666965173654
2015-11-02,-0.18001832844369062
2015-11-03,-0.18121893782978515
2015-11-04,-0.18484702411334383
2015-11-05,-0.17837597659082596
2015-11-06,-0.1656849306770985
2015-11-09,-0.15428750359109333
2015-11-10,-0.1548749517681675
2015-11-11,-0.1690181887229693
2015-11-12,-0.1635542008306491
2015-11-13,-0.16322799367784574
2015-11-16,-0.15178427248231988
2015-11-17,-0.14456672524013103
2015-11-18,-0.12811466298267765
2015-11-19,-0.10808277573377885
2015-11-20,-0.08610986765939353
2015-11-23,-0.15581760943873138
2015-11-24,-0.1680396842164917
2015-11-25,-0.16553701340019872
2015-11-26,-0.09466721126666722
2015-11-27,-0.12300123166490363
2015-11-30,-0.11962851952273304
2015-12-01,-0.11689165616380386
2015-12-02,-0.11580879546726587
2015-12-03,-0.12007914398802619
2015-12-04,-0.11494223045140743
2015-12-07,-0.13482066253106104
2015-12-08,-0.2113637783541415
2015-12-09,-0.2072048747120409
2015-12-10,-0.20604401303230818
2015-12-11,-0.1930972080953083
2015-12-14,-0.19131122637868447
2015-12-15,-0.19060870815222133
2015-12-16,-0.18614426865085165
2015-12-17,-0.17664015608153777
2015-12-18,-0.17252894917642445
2015-12-21,-0.1769220470360045
2015-12-22,-0.18282912521334738
2015-12-23,-0.1918119661322314
2015-12-24,-0.19161795637594856
2015-12-25,-0.18324057036882763
2015-12-28,-0.21090110601242784
2015-12-29,-0.2105373620002438
2015-12-30,-0.2183926219777124
2015-12-31,-0.22281952369028832
2016-01-04,-0.24044095109493432
2016-01-05,-0.24428696246029588
2016-01-06,-0.24565297804170605
2016-01-07,-0.23456245530171213
2016-01-08,-0.2247208233383204
2016-01-11,-0.21932319657086324
2016-01-12,-0.20537851533660206
2016-01-13,-0.1619720072548223
2016-01-14,-0.13722588759832258
2016-01-15,-0.12157021421997244
2016-01-18,-0.125145973592822
2016-01-19,-0.12396636485148782
2016-01-20,-0.12467953195999383
2016-01-21,-0.12827495378339096
2016-01-22,-0.12427680333948751
2016-01-25,-0.12375597329128955
2016-01-26,-0.10849946956248104
2016-01-27,-0.12972117049005183
2016-01-28,-0.11809979713787659
2016-01-29,-0.12568441509502484
2016-02-01,-0.12646726840453268
2016-02-02,-0.1336678505769261
2016-02-03,-0.130490664769484
2016-02-04,-0.11908530238143782
2016-02-05,-0.11152056394515689
2016-02-15,-0.11162696468240753
2016-02-16,-0.1186838034419742
2016-02-17,-0.12684868187894419
2016-02-18,-0.1335525286831464
2016-02-19,-0.1576330686165285
2016-02-22,-0.17454745925595955
2016-02-23,-0.14747600718963494
2016-02-24,-0.11585978057304423
2016-02-25,-0.12449812114911019
2016-02-26,-0.1487223444022265
2016-02-29,-0.12398013330444325
2016-03-01,-0.11929047706674595
2016-03-02,-0.06688454268876044
2016-03-03,-0.07049208019013736
2016-03-04,-0.1405223526246197
2016-03-07,-0.246004145131723
2016-03-08,-0.16951749469590804
