trade_date,ic
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,-0.3455403132609786
2015-06-29,-0.34102526447790754
2015-06-30,-0.33648597040247
2015-07-01,-0.3410007564792087
2015-07-02,-0.35407798750984454
2015-07-03,-0.3500573667221991
2015-07-06,-0.3451566718061464
2015-07-07,-0.34115202475274775
2015-07-08,-0.3632882055741139
2015-07-09,-0.33015634779098013
2015-07-10,-0.325629979543249
2015-07-13,-0.3124978325498078
2015-07-14,-0.29160688441129784
2015-07-15,-0.27761639803564353
2015-07-16,-0.25738384782602247
2015-07-17,-0.24114622502174862
2015-07-20,-0.20384099622057378
2015-07-21,-0.16354223541799123
2015-07-22,-0.14727164601516488
2015-07-23,-0.13761433953356464
2015-07-24,-0.13593451010496
2015-07-27,-0.16450091279546009
2015-07-28,-0.14724517936152287
2015-07-29,-0.15958554403264974
2015-07-30,-0.1644041012079518
2015-07-31,-0.17443270975921613
2015-08-03,-0.19418956623987624
2015-08-04,-0.18449926427431526
2015-08-05,-0.17766097203909356
2015-08-06,-0.13443532019670615
2015-08-07,-0.08245844778211577
2015-08-10,-0.041298109061034365
2015-08-11,0.0011184147271325721
2015-08-12,0.02533362632068799
2015-08-13,0.035993068027383945
2015-08-14,0.04084410103910619
2015-08-17,0.09481907122314764
2015-08-18,0.14539144645422794
2015-08-19,0.14601775004271192
2015-08-20,0.17665779882744018
2015-08-21,0.1827391555282569
2015-08-24,0.1909874304349632
2015-08-25,0.2370100732007564
2015-08-26,0.23207008822115183
2015-08-27,0.2349232513608477
2015-08-28,0.2524319947470972
2015-08-31,0.26817908745634633
2015-09-01,0.2475708758438655
2015-09-02,0.23764810442085613
2015-09-07,0.20708396569799423
2015-09-08,0.19206915731537813
2015-09-09,0.21341628079603833
2015-09-10,0.2156904920331133
2015-09-11,0.21037581772605268
2015-09-14,0.22054850687688413
2015-09-15,0.22459960398676754
2015-09-16,0.18817129078675615
2015-09-17,0.12151617975555885
2015-09-18,0.08856788323874296
2015-09-21,0.06559163327461098
2015-09-22,0.050493790721472004
2015-09-23,0.045947804130830924
2015-09-24,0.03017521833745399
2015-09-25,0.03600350324486237
2015-09-28,0.002897584415978327
2015-09-29,-0.024913491538327504
2015-09-30,-0.048064493255286146
2015-10-08,-0.07812873933769246
2015-10-09,-0.0064324600907446116
2015-10-12,-0.03866889463367989
2015-10-13,-0.03566444558455097
2015-10-14,-0.05157879734960305
2015-10-15,-0.07915717646735879
2015-10-16,-0.07167841652093232
2015-10-19,-0.06814346977323908
2015-10-20,-0.06895627634793564
2015-10-21,-0.07510472426423158
2015-10-22,-0.07725815900656482
2015-10-23,-0.07010341790490163
2015-10-26,-0.062054012343352144
2015-10-27,-0.04653423057381478
2015-10-28,-0.03512817180862635
2015-10-29,-0.023768385956787916
2015-10-30,-0.015060393436327873
2015-11-02,0.0017457224476180007
2015-11-03,0.015552120687771316
2015-11-04,0.02878721526460422
2015-11-05,0.03472012756302661
2015-11-06,0.051066523008213474
2015-11-09,0.06294329128787221
2015-11-10,0.0788751025871647
2015-11-11,0.088960927807349
2015-11-12,0.11004657314450698
2015-11-13,0.12496450188228078
2015-11-16,0.16064455346635442
2015-11-17,0.17203940591343012
2015-11-18,0.15010835191727936
2015-11-19,0.09865587940194162
2015-11-20,0.06815921753140415
2015-11-23,0.03095932759372409
2015-11-24,0.025684714407106422
2015-11-25,0.03431163046735224
2015-11-26,0.005510228169790951
2015-11-27,0.012215974701595456
2015-11-30,0.031043647116952882
2015-12-01,0.0311501089229799
2015-12-02,0.02889168349234481
2015-12-03,0.043081385761249806
2015-12-04,0.059600728730775834
2015-12-07,0.0767736192848027
2015-12-08,0.07723955304410934
2015-12-09,0.054131179002409706
2015-12-10,0.05007890903117872
2015-12-11,0.06443401285716678
2015-12-14,0.04513804351612359
2015-12-15,0.02510314665483184
2015-12-16,0.05203324548978887
2015-12-17,0.09041179671861316
2015-12-18,0.10634180664419138
2015-12-21,0.11528361920979664
2015-12-22,0.1334079709268334
2015-12-23,0.12428307185048511
2015-12-24,0.11503654861570245
2015-12-25,0.0883092883853499
2015-12-28,0.09737126035073701
2015-12-29,0.1000199788620555
2015-12-30,0.11261898691312486
2015-12-31,0.16779983945557314
2016-01-04,0.17345803112915342
2016-01-05,0.18604179318639524
2016-01-06,0.19364647329947932
2016-01-07,0.1906322589422967
2016-01-08,0.19897139538062905
2016-01-11,0.18716284393963037
2016-01-12,0.16980457013619948
2016-01-13,0.1376747665174224
2016-01-14,0.13059565131616863
2016-01-15,0.13216734841174985
2016-01-18,0.14044781818999436
2016-01-19,0.1459567472502553
2016-01-20,0.14401774671526807
2016-01-21,0.14810401279437854
2016-01-22,0.1588118706113746
2016-01-25,0.16125571437778322
2016-01-26,0.15351219257975313
2016-01-27,0.1482830898232127
2016-01-28,0.14293397931718213
2016-01-29,0.14185113038436417
2016-02-01,0.145636006540125
2016-02-02,0.1573840943428354
2016-02-03,0.16136233636089994
2016-02-04,0.16923299723696086
2016-02-05,0.16295577309661993
2016-02-15,0.12013499366173173
2016-02-16,0.04862819796471145
2016-02-17,0.015311668494647603
2016-02-18,-0.014523613394987976
2016-02-19,-0.010159367022423106
2016-02-22,-0.0002770008429197426
2016-02-23,0.01879651180779723
2016-02-24,-0.013947593495627178
2016-02-25,-0.04887173286592057
2016-02-26,0.009377056282040965
2016-02-29,0.011737932784352981
2016-03-01,-0.03993015771398422
2016-03-02,-0.017733799807730734
2016-03-03,0.009387003019865245
2016-03-04,0.010989307161860312
2016-03-07,-0.0610226101392765
2016-03-08,-0.1452595556024946
2016-03-09,-0.17630820191182037
2016-03-10,-0.20966461199156233
2016-03-11,-0.2504559749080646
2016-03-14,-0.27694534878871846
2016-03-15,-0.2707774386007497
