trade_date,ic
2025-10-17,
2025-10-20,
2025-10-21,
2025-10-22,
2025-10-23,
2025-10-24,
2025-10-27,
2025-10-28,
2025-10-29,
2025-10-30,
2025-10-31,
2025-11-03,
2025-11-04,
2025-11-05,
2025-11-06,
2025-11-07,
2025-11-10,
2025-11-11,
2025-11-12,
2025-11-13,
2025-11-14,
2025-11-17,
2025-11-18,
2025-11-19,
2025-11-20,
2025-11-21,
2025-11-24,
2025-11-25,
2025-11-26,
2025-11-27,
2025-11-28,
2025-12-01,
2025-12-02,
2025-12-03,
2025-12-04,
2025-12-05,
2025-12-08,
2025-12-09,
2025-12-10,
2025-12-11,
2025-12-12,
2025-12-15,
2025-12-16,
2025-12-17,
2025-12-18,
2025-12-19,
2025-12-22,
2025-12-23,
2025-12-24,
2025-12-25,
2025-12-26,
2025-12-29,
2025-12-30,
2025-12-31,
2026-01-05,
2026-01-06,
2026-01-07,
2026-01-08,
2026-01-09,
2026-01-12,-0.023302541976628132
2026-01-13,-0.043501550264509026
2026-01-14,-0.11647075972789286
2026-01-15,-0.1203898306390783
2026-01-16,-0.12468396015306356
2026-01-19,-0.09908436828140763
2026-01-20,-0.06715714877791143
2026-01-21,-0.10641218478743956
2026-01-22,-0.07562034312173774
2026-01-23,-0.043876652871752644
2026-01-26,-0.07056763858329733
2026-01-27,0.0018779328584810225
2026-01-28,-0.05950871582605687
2026-01-29,-0.273198136282842
2026-01-30,-0.21515193979417319
2026-02-02,-0.23358432092999204
2026-02-03,-0.2333261332465127
2026-02-04,-0.22894110103592838
2026-02-05,-0.2506656040702557
2026-02-06,-0.24842285025967942
2026-02-09,-0.2462771460419752
2026-02-10,-0.2419001917160756
2026-02-11,-0.25494838412012955
2026-02-12,-0.2563238889437376
2026-02-13,-0.2477580725439408
2026-02-24,-0.24327916774292666
2026-02-25,-0.24356716704195935
2026-02-26,-0.23634308951531952
2026-02-27,-0.23581295558902823
2026-03-02,-0.23646690288917782
2026-03-03,-0.23566727498674558
2026-03-04,-0.23323763064094782
2026-03-05,-0.23031995695251306
2026-03-06,-0.23251346282652566
2026-03-09,-0.23137765855619513
2026-03-10,-0.2362063332758753
2026-03-11,-0.22907651270371768
2026-03-12,-0.22217618382140705
2026-03-13,-0.21137698744307779
2026-03-16,-0.20255786127644193
2026-03-17,-0.2069031173618043
2026-03-18,-0.20580631578596736
2026-03-19,-0.22154932742093736
2026-03-20,-0.23331302908975138
2026-03-23,-0.22999175863412402
2026-03-24,-0.23142335360201552
2026-03-25,-0.2484161801752386
2026-03-26,-0.2134763461658437
2026-03-27,-0.214272486971103
2026-03-30,-0.22800688189821305
2026-03-31,-0.22272822035142978
2026-04-01,-0.22359649345707264
2026-04-02,-0.21755632005198275
2026-04-03,-0.22166518371544883
2026-04-07,-0.1655029803577412
2026-04-08,-0.15219663549425522
2026-04-09,-0.15884661649140758
2026-04-10,-0.15494068282273168
2026-04-13,-0.16241333863648583
2026-04-14,-0.15933722265457345
2026-04-15,-0.15472444615210013
2026-04-16,-0.14984895005684362
2026-04-17,-0.11270845989243748
2026-04-20,-0.11113974862185422
2026-04-21,
2026-04-22,
2026-04-23,
